planning_area,subzone,education_count,food_count,nature_count,recreation_count,shopping_count,transport_count,education_avg_rating,food_avg_rating,nature_avg_rating,recreation_avg_rating,shopping_avg_rating,transport_avg_rating,education_rating_100,food_rating_100,nature_rating_100,recreation_rating_100,shopping_rating_100,transport_rating_100,education_review_count,food_review_count,nature_review_count,recreation_review_count,shopping_review_count,transport_review_count,education_avg_review_rating,food_avg_review_rating,nature_avg_review_rating,recreation_avg_review_rating,shopping_avg_review_rating,transport_avg_review_rating,education_noise_positive_mentions,food_noise_positive_mentions,nature_noise_positive_mentions,recreation_noise_positive_mentions,shopping_noise_positive_mentions,transport_noise_positive_mentions,education_noise_negative_mentions,food_noise_negative_mentions,nature_noise_negative_mentions,recreation_noise_negative_mentions,shopping_noise_negative_mentions,transport_noise_negative_mentions,education_crowding_positive_mentions,food_crowding_positive_mentions,nature_crowding_positive_mentions,recreation_crowding_positive_mentions,shopping_crowding_positive_mentions,transport_crowding_positive_mentions,education_crowding_negative_mentions,food_crowding_negative_mentions,nature_crowding_negative_mentions,recreation_crowding_negative_mentions,shopping_crowding_negative_mentions,transport_crowding_negative_mentions,education_cleanliness_positive_mentions,food_cleanliness_positive_mentions,nature_cleanliness_positive_mentions,recreation_cleanliness_positive_mentions,shopping_cleanliness_positive_mentions,transport_cleanliness_positive_mentions,education_cleanliness_negative_mentions,food_cleanliness_negative_mentions,nature_cleanliness_negative_mentions,recreation_cleanliness_negative_mentions,shopping_cleanliness_negative_mentions,transport_cleanliness_negative_mentions,education_safety_positive_mentions,food_safety_positive_mentions,nature_safety_positive_mentions,recreation_safety_positive_mentions,shopping_safety_positive_mentions,transport_safety_positive_mentions,education_safety_negative_mentions,food_safety_negative_mentions,nature_safety_negative_mentions,recreation_safety_negative_mentions,shopping_safety_negative_mentions,transport_safety_negative_mentions,education_convenience_positive_mentions,food_convenience_positive_mentions,nature_convenience_positive_mentions,recreation_convenience_positive_mentions,shopping_convenience_positive_mentions,transport_convenience_positive_mentions,education_convenience_negative_mentions,food_convenience_negative_mentions,nature_convenience_negative_mentions,recreation_convenience_negative_mentions,shopping_convenience_negative_mentions,transport_convenience_negative_mentions,education_price_positive_mentions,food_price_positive_mentions,nature_price_positive_mentions,recreation_price_positive_mentions,shopping_price_positive_mentions,transport_price_positive_mentions,education_price_negative_mentions,food_price_negative_mentions,nature_price_negative_mentions,recreation_price_negative_mentions,shopping_price_negative_mentions,transport_price_negative_mentions,education_noise_net_mentions,food_noise_net_mentions,nature_noise_net_mentions,recreation_noise_net_mentions,shopping_noise_net_mentions,transport_noise_net_mentions,education_crowding_net_mentions,food_crowding_net_mentions,nature_crowding_net_mentions,recreation_crowding_net_mentions,shopping_crowding_net_mentions,transport_crowding_net_mentions,education_cleanliness_net_mentions,food_cleanliness_net_mentions,nature_cleanliness_net_mentions,recreation_cleanliness_net_mentions,shopping_cleanliness_net_mentions,transport_cleanliness_net_mentions,education_safety_net_mentions,food_safety_net_mentions,nature_safety_net_mentions,recreation_safety_net_mentions,shopping_safety_net_mentions,transport_safety_net_mentions,education_convenience_net_mentions,food_convenience_net_mentions,nature_convenience_net_mentions,recreation_convenience_net_mentions,shopping_convenience_net_mentions,transport_convenience_net_mentions,education_price_net_mentions,food_price_net_mentions,nature_price_net_mentions,recreation_price_net_mentions,shopping_price_net_mentions,transport_price_net_mentions,education_representative_reviews,food_representative_reviews,nature_representative_reviews,recreation_representative_reviews,shopping_representative_reviews,transport_representative_reviews
Pioneer,Benoi Sector,16,5,11,12,9,6,4.423,3.92,4.373,4.308,3.975,3.65,88.46,78.4,87.46,86.16,79.5,73.0,58,22,46,60,38,23,4.5,4.0,4.565,4.25,3.632,3.739,11,0,21,4,0,1,3,0,0,3,0,0,2,4,1,3,2,0,1,1,2,4,1,3,5,2,2,13,4,3,0,0,0,1,0,0,5,0,2,3,0,0,0,0,0,1,0,1,6,3,6,4,3,9,0,0,1,0,0,0,1,8,0,4,3,1,0,1,0,0,2,0,8,0,21,1,0,1,1,3,-1,-1,1,-3,5,2,2,12,4,3,5,0,2,2,0,-1,6,3,5,4,3,9,1,7,0,4,1,1,"Small Wonder Pioneer has truly exceeded my expectations. The principal and teachers are genuinely the best! They’re caring, attentive and very dedicated to the children’s growth an... || I am truly impressed with the care and learning environment at Small Wonder Pioneer. The teachers are incredibly warm, attentive and nurturing, which helps my child feel safe and s... || I am truly beyond grateful for everything Small Wonder Pioneer Preschool has done for my family. Both my daughters, one in K2 and one in N1, have blossomed so beautifully under the...","The Chicken rice here is simply delicious, They will add either fried wanton or Soup wanton for you depending on what you have ordered. White chicken was tender and SiewBak was cri... || OMG the Muslim food is ex -SGD7 || Nasi Padang - Malay Delights not bad, very fragrant.","This particular Park Connector rans along Sungei Pandan Kechil section of West Coast Road to West Coast Highway. It's a short 450 metre paved path. Despite its short length, it's h... || A very pretty park connector that’s perfect for running and cycling, linking West Coast Park with Clementi Woods Park. I often see people jogging here, and with the new HDB and eld... || ​The park's main activities are conveniently clustered around McDonald's, which serves as a great central spot for dining, socializing, and recreation. Aside from active play, it i...","I’ve been training at BFT Pioneer for almost four months now, and I’m truly grateful to have been introduced to their program. Both my wife and I genuinely enjoy and look forward t... || BFT Pioneer has been such an important part of my fitness journey. The coaches are incredibly encouraging and supportive, and they genuinely care about your progress. Whenever I ha... || This is the place where you are greeted by the friendly coaches before the start of each workout and like-minded gym friends cheering you on. A myriad of 50-minute programs ranging...","A very old-school mall with an open-air concept, literally filled with small shopfronts facing the front only. The building is three stories high, but the elevator on the third flo... || I’m writing this to warn everyone about a frustrating experience I just had at this shop located at pioneer mall. Please be careful before you buy anything here! The promoter at th... || Other than a well stocked Giant Supermarket on L3 and 4, this mall offers nothing else. It has a McD on the Ground Floor and Anytime Fitness on L3. Guess it fulfills the needs of J...","Pioneer MRT Station (EW28) is an elevated station on the East-West Line (EWL). It is a key transport node for residents of Jurong West and a vital gateway for students and staff of... || 🚇 When you exit Pioneer MRT, you'll see a 7-Eleven right away. There's also a POSB ATM nearby. 🍜 There are various food shops around. Go downstairs and you'll find Kimly Coffeeshop... || I took mrt to work from pioneer stn. Recently they changed the direction of escalators. I believe it is to clear crowd. Not good. Please change it back asap. I have knees issue. Av..."
Pioneer,Gul Basin,17,8,12,12,9,7,4.508,4.412,4.436,4.4,3.922,3.686,90.16,88.24,88.72,88.0,78.44,73.72,40,35,35,30,25,12,4.475,4.086,4.771,4.267,3.64,3.833,2,2,20,1,1,1,0,0,0,0,0,0,2,0,1,2,3,0,2,4,0,1,3,1,5,1,9,6,3,1,0,0,0,0,0,1,3,1,2,1,1,1,0,1,0,0,1,1,2,0,10,6,8,2,1,0,0,0,0,0,1,4,0,0,3,0,0,4,0,1,0,0,2,2,20,1,1,1,0,-4,1,1,0,-1,5,1,9,6,3,0,3,0,2,1,0,0,1,0,10,6,8,2,1,0,0,-1,3,0,"We’ve been so happy with our girls’ experience at LFP West Coast! The teachers put a lot of thought and effort into creating engaging programmes that the children truly enjoy. Ever... || Both my boys are enrolled in LFP@West Coast. Teachers are friendly and dedicated in their roles, many times going over and above. Kids enjoy school alot. Curriculum is good and my ... || We are so grateful to have found this childcare centre! All my 4 kids are with this preschool! The teachers are incredibly caring, patient and professional — they treat every child...","Tong luck cai fan Damn expensive. This is tuas industrial area.. More ex than heartland coffeeshop. One veg one meat one egg =$5. 10 || I visited this Indian food stall this morning and ordered a dosa. I wanted to try both the sambar and chutney, so I asked for an extra small bowl to keep them separate. The vendor ... || Yummy delicious vegetarian food found here...can't go wrong even for non-veg eater.","A lovely small rainforest park tucked away in the west that feels surprisingly immersive despite its compact size. The walking trails are well-paved and shaded by tall trees, makin... || It was my first and hope it's not the last visit to this place. I really want to go there again. Really liked the place and enjoyed walking around this place. This would definitely... || Didn't realise there was a quarry in the park, took a long walk in nature and found many wonderful things! Was caught by a sudden downpour, appreciated the thick trees around the a...","Amazing staff here, they helped with all my queries and application to the gym! Equipments are new and great. Would highly recommend this gym for your next workout! || The newly opened gym at Parc Point in Tengah. The facility looks modern and well equipped, with a good range of cardio machines, strength equipment, and free weights. The space is ... || 4 squat racks, nice vibe, helpful, friendly and attentive staff!","Jurong Point has really evolved into one of the largest and most comprehensive suburban malls in Singapore over the years. The mall keeps expanding and now offers an impressive var... || Jurong Point is one of the more convenient suburban malls in Singapore with a huge variety of shops, supermarkets, restaurants and daily necessities all under one roof. The mall is... || As one of Singapore’s largest suburban malls, Jurong Point serves as a massive retail and lifestyle hub for the West. It’s famous for its immersive themed precincts and endless foo...","No shops, and wait so long || This mrt is located nearby tuas area.gul circle is mentioned as green line in mrt map.i am went there so many times.thank you || Clean MRT. Quiet on weekends. Little crowded during peak hour on weekdays."
Pioneer,Gul Circle,18,6,9,12,7,2,4.521,4.1,4.556,4.264,4.286,4.7,90.42,82.0,91.12,85.28,85.72,94.0,15,6,13,10,20,1,4.533,4.167,3.385,3.8,4.2,5.0,0,2,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,1,0,0,-2,-2,0,1,0,0,0,2,0,2,0,0,0,1,0,0,0,1,1,2,0,0,1,0,0,0,0,"Our child transferred from China to K2 at Raffles Kidz Pres. Thanks to all teachers’ patient care, especially Chinese teacher Wen, he adapted fast and enjoys school life now. We ar... || Our son has been in school for 1.5yrs since he was 18mo. During transition from PN to Nursery was when we were given feedback on his development, and at which point we considered c... || The teachers are always so welcoming during drop-off and pick-up which gives parents great peace of mind. We transferred our son here and it has definitely been the right choice. T...","Donkey, Aerin, and I visited Kokoro Izakaya based on a TikTok recommendation praising its vibrant atmosphere and quality food. The restaurant has warm, cosy decor with a dedicated ... || The food was delicious and nicely presented. I really enjoyed the ambience of the restaurant, it felt cosy and welcoming. I was pleasantly surprised to find that there was live mus... || Delicious meal, we ordered wagyu don and Ramen. Service was top notch, they attend to us immediately when needed. Their refillable tea was delicious. They have live band every Thur...","I had a very unpleasant experience with the person in charge of the X-ray service on 03/02/2026 3.30pm. His attitude was rude and impatient, and he lacked basic politeness. Even si... || Small clinic where by only handle minor diagnosis, Can’t settled an open cut injuries yet need to go A&E Dept. Front desk Service is fast but the medic staff is not well organised ... || the service quite good but need to improve on the blood test process, is take too long for medical checkup, the only cons here other than that all good",Poster for free dinner for senior citzon was put on life on sunday 30 nov 25. On 10.30am 1 dec 25. The staff said sold out. Like that mihht not put up the poster. || Excellent location for neighbourhood hartland community club near Jurong East Swimming Complex Water Park Chinese Garden with plenty of greenery natural river Jurong Lake connectio... || Very calm place ...no sports activities allowed. Good place to spend some solitude time. McD is there if you are hungry. Weekend just nice to be here..,JTC Space @ Gul A good location for training and factory. There are ample space and parking lots. Last update Jan2019 || 30 mins grace period parking for heavy vehicles 15 mins grace period parking for light vehicles || No coffee shop nearby only cold drinks vending machine,
Pioneer,Joo Koon,15,7,11,11,5,3,4.231,3.443,4.336,4.327,3.6,3.833,84.62,68.86,86.72,86.54,72.0,76.66,18,30,11,10,0,5,4.556,3.167,4.727,4.4,0.0,4.6,3,2,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,4,2,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,3,1,0,0,0,3,2,6,0,0,0,4,-1,0,0,0,-1,4,0,2,0,0,0,2,0,0,0,0,0,1,3,5,0,0,3,0,0,-1,1,0,0,Just attended the open house. Clean and spacious || We decided to enrol after meeting Centre Head Ms Audrey for a 2nd time. She was very patient and forthcoming in addressing our concerns and shared valuable parenting insights. Her ... || New and Nice environment.,"The nasi Briyani is tasty but the meat not tender but hard , The can drink is expensive Cost $1.90 || Economic rice stall employee charged 5 bucks for 1 meat 2 veg (braised pork belly, beansprouts and cauliflower dishes), when according to their menu should be 1.2+2×1 and 0.5 for r... || Many food options with affordable pricing, but place a bit hot and stuffy, ventilation not good. Long queue with some stall. Try the Curry Chicken ($5) from the claypot stall, was ...","Hindhede Nature Park is one of Singapore’s hidden gems for anyone looking to enjoy nature without committing to a long or strenuous hike. Despite its relatively small size, the par... || It seems this is my favourite spot to hike and train myself for my next climb. The trail is like super easy so I do many repetitions. The place is nice. Plenty of wild snakes and m... || Nice and peaceful park with an easy walking trail. Great for a short stroll, and the quarry view is really nice.","Senior Coach Aaron is truly exceptional. My child is naturally very mild and timid, but under Coach Aaron’s guidance, he blossomed with confidence and skill. In just three months, ... || Some pros and cons after my children attended lessons for a while. First of all, we had to do a review when we first signed up and indicate 5 stars. I indicated 4 stars at first be... || Brought my daughter here for her first Wushu class. Coaches are patient and professional, and the environment is very welcoming for beginners. She enjoyed the session and is excite...",,"Joo Koon MRT Station is an elevated MRT station on the East–West Line in western Singapore. It mainly serves the Joo Koon industrial area and is coded EW29. Location and basic info... || Joo Koon MRT Station (EW29) is an elevated station located along Singapore’s East-West Line, serving the Joo Koon district within the larger Jurong Industrial Estate. Opened in 201... || This is a busy station in the morning. People walk through the Mall and mostly will stop over at the level 1 bakery shop to load up carbs. The KopiTiam serves hearty breakfast set ..."
Pioneer,Pioneer Sector,16,9,12,12,8,5,4.542,3.9,4.333,4.225,3.925,3.6,90.84,78.0,86.66,84.5,78.5,72.0,16,26,30,15,5,14,4.75,3.808,4.4,3.467,2.6,2.786,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,2,0,1,1,4,5,6,0,1,0,2,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,6,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,1,0,0,0,0,8,0,0,0,-2,-1,0,-1,0,-1,1,2,5,1,0,1,1,0,0,3,0,0,0,2,6,0,0,1,1,1,2,-1,0,0,"The school itself is excellent, especially the centre head, Miss ZX. She is caring, responsible, and professional, and parents can genuinely feel confident that their children are ... || I recently visited the center, and I was highly impressed. The environment was not only inviting and cozy but also exceptionally clean. Ms Junie was welcoming and very accommodatin... || My daughter has been attending PlayFACTO@Pioneer for over a year, and we couldn’t be happier. She enjoys going there and has never had anything negative to say about the teachers o...",Happen to be nearby a shipyard. Lunchtime hence google map & came to notice this vegetarian stall has the highest rating among all other stalls. Hence gave it a try. Option of cust... || Recommend this Indonesia Nasi Padang stall at Sungai Kadut Eating House(Pioneer Sector walk). Really nice malay food. || First time around the area. Their noodles are tasty and definitely not what I expect to have in a factory area canteen! Very good price for the quality and quantity given👍👍,"A pleasant neighbourhood park that’s generally well maintained and easy to enjoy. The greenery is neatly kept, paths are clean, and there’s a good mix of features like open lawns, ... || Jurong Central Park · Singapore ⭐️⭐️⭐️⭐️ Visited in the morning and found it fairly quiet, which made for a pleasant short stroll. The park isn’t particularly spectacular, but it’s... || Weekend Wanders: Jurong Central Park Took a stroll through Jurong Central Park over the weekend — a peaceful green escape nestled just minutes away from Jurong Point and Boon Lay M...","Love it || I brought my child here and saw mold mainly in the ball pit area, so we avoided it and did not visit for a long time. After a recent renovation and the addition of new web play str... || My son loves to visit this playground and would come once during sch holidays. The last visit was in Dec2025 and the playground was still lovely, clean and good condition. Today on...",Charged me 10c without asking if I needed a bag. 2nd time round anyhow charge me full price when item is 25% off at $4.70. Indian lady on 14 dec at 23:44pm just keep using phone th... || 14-Dec-2022 around 7AM.... This Indian muslim staff didn't put on his mask when he coughs openly without covering it. My goodness... It's still pandemic!!! Please be more considera... || 24 hours convenience store. Lots of variety. You wont go hungry. Need to bring your own bag. Save the environment. Friendly and helpful staff. Recommended,"I frequent this bus stop as 179 is the only bus from Pioneer that enters NTU. The sign informs commuters of the bus services available at the bus stop 1. Code choice English is the... || ***257 doesn't exist*** Thank fully was able to reroute with Gmaps! +1 star for that, but still oh em gee || Bus 255 no longer stops here. Please update the information."
