timestamp,api_type,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-16T13:12:43.245910,text_search,Clementi,Clementi North,transport,bus interchange,"bus interchange in Clementi North, Clementi, Singapore",OK,,7,
2026-07-16T13:12:43.965082,text_search,Clementi,Clementi North,transport,LRT station,"LRT station in Clementi North, Clementi, Singapore",OK,,6,
2026-07-16T13:12:45.078654,text_search,Clementi,Clementi North,food,hawker centre,"hawker centre in Clementi North, Clementi, Singapore",OK,,19,
2026-07-16T13:12:45.844222,text_search,Clementi,Clementi North,food,food court,"food court in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:46.660213,text_search,Clementi,Clementi North,food,coffee shop,"coffee shop in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:47.453686,text_search,Clementi,Clementi North,food,restaurant,"restaurant in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:48.237953,text_search,Clementi,Clementi North,food,cafe,"cafe in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:48.795017,text_search,Clementi,Clementi North,shopping,shopping mall,"shopping mall in Clementi North, Clementi, Singapore",OK,,9,
2026-07-16T13:12:49.738767,text_search,Clementi,Clementi North,shopping,supermarket,"supermarket in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:50.633719,text_search,Clementi,Clementi North,shopping,grocery store,"grocery store in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:51.377458,text_search,Clementi,Clementi North,shopping,convenience store,"convenience store in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:52.412862,text_search,Clementi,Clementi North,shopping,wet market,"wet market in Clementi North, Clementi, Singapore",OK,,13,
2026-07-16T13:12:53.177514,text_search,Clementi,Clementi North,recreation,gym,"gym in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:54.127826,text_search,Clementi,Clementi North,recreation,sports centre,"sports centre in Clementi North, Clementi, Singapore",OK,,14,
2026-07-16T13:12:54.817996,text_search,Clementi,Clementi North,recreation,swimming complex,"swimming complex in Clementi North, Clementi, Singapore",OK,,1,
2026-07-16T13:12:55.519570,text_search,Clementi,Clementi North,recreation,cinema,"cinema in Clementi North, Clementi, Singapore",OK,,16,
2026-07-16T13:12:56.302405,text_search,Clementi,Clementi North,recreation,community club,"community club in Clementi North, Clementi, Singapore",OK,,3,
2026-07-16T13:12:56.961301,text_search,Clementi,Clementi North,recreation,playground,"playground in Clementi North, Clementi, Singapore",OK,,20,
