planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Ang Mo Kio,Cheng San,recreation,10,3.5,0,0,0,0,1,0,1,0,1,0,0,0,The swimming complex was really great. But there's only one problem... They don't allow swimsuits with zippers when going to the slides || definitely will come again to enjoy the facility here! sheltered and water playgrounds available to play around. || The toilet cleaner aunty is super rude. Not first time encounter this problem. As level 2 under renovation. Lot of ppl rush to toilet near mcd at level 1. The aunty just mop their ...,0,0,1,1,1,0
Ang Mo Kio,Cheng San,nature,10,4.5,6,0,1,0,0,0,0,0,0,0,0,0,"The park itself is fine if you don't intend to go onto the other side of the waterway because the number of bridges linking the two sides are few and far apart. I am not sure why i... || Great place for a family walk. Quite a lot of wildlife and nature you can spot here if you look closely. || Nature's serenity and wonder, 😜 if you don't mind just a quiet morning walk or family walk ☺️🍀😎💕👍🏽🌈",6,1,0,0,0,0
Ang Mo Kio,Chong Boon,education,10,4.9,5,0,1,1,2,0,0,0,2,0,0,0,"My P1 daughter loves EduFirst- especially Teacher Precia and Teacher Yanxin who have been so kind, loving and patient with her. She has benefitted tremendously not just from their ... || I attended Mandarin classes at EduFirst AMC for a year. My teacher, Precia, was wonderful, and I liked her teaching style. She is incredibly kind, patient, and always encouraging. ... || I am very grateful to the EduFirst for helping my child pass the AEIS exam and get into a local school now (Yew Tee Primary). Now, I am getting my younger son back at EduFirst to p...",5,0,2,0,2,0
Ang Mo Kio,Chong Boon,transport,10,4.5,0,0,0,2,3,0,0,0,5,0,0,0,"One-North is a very well-structured MRT station, perfectly servicing one of Singapore's major business and industrial districts. The layout is refreshingly straightforward, making ... || You would love the nice aroma when you come out of the train in the morning. Still can't figure out from which store. A lot of good food options. Cold storage at the MRT level. || 🟧One-north MRT Station 🟨 9 Ayer Rajah Ave, Singapore 138647 🟦One-North Station is connected to the integrated office/retail complexes of Fusionopolis, Connexis, Symbiosis and Biopo...",0,-2,3,0,5,0
Ang Mo Kio,Chong Boon,food,10,4.6,0,0,1,4,1,0,0,0,2,0,2,1,"Vegetarian hor fun was nice! Generous portion with a lot of ingredients (veggies and mock meats) at only $5 || This is my offday favourite lunch place. All the way from Bedok to here for these 2 foods. This boneless chicken rice honestly is the best. Fragrance rice, thick and juicy chicken,... || A medium sized hawker centre which is clean, spacious and well ventilated. There is always a long queue at the roast meat stall. Tried their assorted roast meat set for one person ...",0,-3,1,0,2,1
Ang Mo Kio,Chong Boon,shopping,10,4.6,0,0,0,2,3,0,0,1,4,0,0,0,"AMK Hub is one of the most convenient and practical malls in Ang Mo Kio. The location is excellent, as it is directly connected to Ang Mo Kio MRT station and the bus interchange, m... || AMK Hub is a really convenient neighbourhood mall, especially since it’s directly connected to Ang Mo Kio MRT and the bus interchange. It’s super easy to get to, which makes it a p... || A good, classic neighbourhood mall with food options that leave you spoilt for choice. A rectangular-shaped mall with basements mostly eateries, Level 1 & 2 mostly shops, and Level...",0,-2,3,-1,4,0
Ang Mo Kio,Chong Boon,recreation,10,4.0,0,0,1,0,3,0,0,0,1,0,0,0,"Came here for a toastmasters meeting. Great facilities and ambiance. It looks like an engaging and well operated community Center. || Thank you Veronica for helping me to settle the Singpass matters. Also Karen too for your help re the SG seniors vouchers. These are 2 beautiful, kind n patient souls! || Has a sheltered basketball court that is used for everything except basketball. Ring is missing on one side of the court. Had so much potential as one of the only few sheltered bas...",0,1,3,0,1,0
Ang Mo Kio,Chong Boon,nature,10,4.9,10,0,2,3,1,0,0,0,0,0,0,0,"I visited here for a morning walk. The park is quite large, so you'll definitely work up a sweat walking around. I highly recommend bringing a water bottle. It's full of nature, an... || Relaxing spot, perfect for a nature retreat while in the city. A lot less crowded than you'd expect, considering it's central spot. It's a collection of spots really, rather than a... || This is a quiet green park in Singapore. Looks like an old park with lot of greenery. It's clam, quiet and with lot of shade its ideal for a relaxing time. The famous Fort canning ...",10,-1,1,0,0,0
Ang Mo Kio,Kebun Bahru,education,10,4.9,5,0,1,0,2,0,2,0,2,0,0,0,"An outstanding preschool with excellent management and a team of passionate educators. The principal leads with great professionalism and heart, creating a positive and safe learni... || Excellent preschool with dedicated teachers and a well-structured curriculum. The staff truly care about each child’s development, and communication with parents is always clear an... || I decided to enrol my girl in this branch because of the teachers’ experience and attention to detail. My husband and I appreciate how the principal addressed our concerns and supp...",5,1,2,2,2,0
Ang Mo Kio,Kebun Bahru,transport,10,4.0,1,1,0,1,3,0,0,0,5,0,0,0,"It is very convenient as I can travel there very easily by bus or mrt because those are within walking distance of the community club. There is a big basketball court there for eve... || The MAEC is very unfair.this cc had very bias system when disturbing hari raya ang pao tge recently incidents was 7th March 2026. supposedly those have SMTA are eligible for the an... || Who knew that community clubs in Singapore could be so full of surprises? I was here for a community CPR-AED workshop, and it just so happens that Kebun Bahru CC IAEC was organisin...",0,-1,3,0,5,0
