planning_area,subzone,education_count,food_count,nature_count,recreation_count,shopping_count,transport_count,education_avg_rating,food_avg_rating,nature_avg_rating,recreation_avg_rating,shopping_avg_rating,transport_avg_rating,education_rating_100,food_rating_100,nature_rating_100,recreation_rating_100,shopping_rating_100,transport_rating_100,education_review_count,food_review_count,nature_review_count,recreation_review_count,shopping_review_count,transport_review_count,education_avg_review_rating,food_avg_review_rating,nature_avg_review_rating,recreation_avg_review_rating,shopping_avg_review_rating,transport_avg_review_rating,education_noise_positive_mentions,food_noise_positive_mentions,nature_noise_positive_mentions,recreation_noise_positive_mentions,shopping_noise_positive_mentions,transport_noise_positive_mentions,education_noise_negative_mentions,food_noise_negative_mentions,nature_noise_negative_mentions,recreation_noise_negative_mentions,shopping_noise_negative_mentions,transport_noise_negative_mentions,education_crowding_positive_mentions,food_crowding_positive_mentions,nature_crowding_positive_mentions,recreation_crowding_positive_mentions,shopping_crowding_positive_mentions,transport_crowding_positive_mentions,education_crowding_negative_mentions,food_crowding_negative_mentions,nature_crowding_negative_mentions,recreation_crowding_negative_mentions,shopping_crowding_negative_mentions,transport_crowding_negative_mentions,education_cleanliness_positive_mentions,food_cleanliness_positive_mentions,nature_cleanliness_positive_mentions,recreation_cleanliness_positive_mentions,shopping_cleanliness_positive_mentions,transport_cleanliness_positive_mentions,education_cleanliness_negative_mentions,food_cleanliness_negative_mentions,nature_cleanliness_negative_mentions,recreation_cleanliness_negative_mentions,shopping_cleanliness_negative_mentions,transport_cleanliness_negative_mentions,education_safety_positive_mentions,food_safety_positive_mentions,nature_safety_positive_mentions,recreation_safety_positive_mentions,shopping_safety_positive_mentions,transport_safety_positive_mentions,education_safety_negative_mentions,food_safety_negative_mentions,nature_safety_negative_mentions,recreation_safety_negative_mentions,shopping_safety_negative_mentions,transport_safety_negative_mentions,education_convenience_positive_mentions,food_convenience_positive_mentions,nature_convenience_positive_mentions,recreation_convenience_positive_mentions,shopping_convenience_positive_mentions,transport_convenience_positive_mentions,education_convenience_negative_mentions,food_convenience_negative_mentions,nature_convenience_negative_mentions,recreation_convenience_negative_mentions,shopping_convenience_negative_mentions,transport_convenience_negative_mentions,education_price_positive_mentions,food_price_positive_mentions,nature_price_positive_mentions,recreation_price_positive_mentions,shopping_price_positive_mentions,transport_price_positive_mentions,education_price_negative_mentions,food_price_negative_mentions,nature_price_negative_mentions,recreation_price_negative_mentions,shopping_price_negative_mentions,transport_price_negative_mentions,education_noise_net_mentions,food_noise_net_mentions,nature_noise_net_mentions,recreation_noise_net_mentions,shopping_noise_net_mentions,transport_noise_net_mentions,education_crowding_net_mentions,food_crowding_net_mentions,nature_crowding_net_mentions,recreation_crowding_net_mentions,shopping_crowding_net_mentions,transport_crowding_net_mentions,education_cleanliness_net_mentions,food_cleanliness_net_mentions,nature_cleanliness_net_mentions,recreation_cleanliness_net_mentions,shopping_cleanliness_net_mentions,transport_cleanliness_net_mentions,education_safety_net_mentions,food_safety_net_mentions,nature_safety_net_mentions,recreation_safety_net_mentions,shopping_safety_net_mentions,transport_safety_net_mentions,education_convenience_net_mentions,food_convenience_net_mentions,nature_convenience_net_mentions,recreation_convenience_net_mentions,shopping_convenience_net_mentions,transport_convenience_net_mentions,education_price_net_mentions,food_price_net_mentions,nature_price_net_mentions,recreation_price_net_mentions,shopping_price_net_mentions,transport_price_net_mentions,education_representative_reviews,food_representative_reviews,nature_representative_reviews,recreation_representative_reviews,shopping_representative_reviews,transport_representative_reviews
River Valley,Institution Hill,13,10,11,10,8,5,4.367,4.51,4.41,4.59,4.175,4.16,87.34,90.2,88.2,91.8,83.5,83.2,60,46,48,50,38,22,4.417,4.565,4.375,4.54,4.132,4.182,5,2,25,4,2,1,1,0,0,0,1,0,4,0,4,1,3,1,1,3,4,7,3,2,5,1,6,11,7,5,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,4,0,9,4,2,3,0,0,0,0,0,0,4,1,0,0,3,0,0,2,1,1,2,0,4,2,25,4,1,1,3,-3,0,-6,0,-1,5,1,6,10,7,5,-1,0,1,1,0,0,4,0,9,4,2,3,4,-1,-1,-1,1,0,"My daughter has had the amazing years at RV Superland since N2! The teachers are so caring and attentive, making learning fun and engaging. We’ve seen her grow in confidence, curio... || Our child has been enjoying life at Superland RV since 9 months of age 😊. Now, as he approaches his final year in Kindergarten 2 (omg—time really flies!), he has thoroughly enjoyed... || Our little one has been at Superland River Valley as early as 4 months old and we have been delighted by the care, love and teaching received since then. Furthermore, having French...","Bought 红油抄手 from a beef noodle shop. OMG, every dumpling is so big and the sauce is so savoury with black vinegar. Best I have ever eaten! || This is one of the best hawker centre in Singapore. Has the highest ratio of best rated food here. Its clean airy and toilet are extremely clean too. The most famous food here is t... || Great little Hawker by Singapore River. Chicken was good, bowl of miso tasty and Char Siu Pork also very good. The Bok Choi in light soy excellent. Recommend Bandung drink. If it r...","I visited here for a morning walk. The park is quite large, so you'll definitely work up a sweat walking around. I highly recommend bringing a water bottle. It's full of nature, an... || Relaxing spot, perfect for a nature retreat while in the city. A lot less crowded than you'd expect, considering it's central spot. It's a collection of spots really, rather than a... || We had a great time at Fort Canning Park, especially at the children's playground area. The kids really enjoyed the swings and slides, and the playground was well designed for youn...","A brand new SRT studio that is absolute vibes! Everything feels thoughtfully designed - clean, aesthetic, and super welcoming. Major plus points for the shower facilities and havin... || First time attending Reformer Pilates Sculpt 50 class at XYCO’s new Pilates studio after all that I’ve heard about their close knit community and energetic spinning classes. Attend... || Beautiful and cosy Pilates studio located conveniently in the city centre. Amazing vibes and community 💯 Attended Brandon’s class and for a first timer doing Pilates, it was a grea...","A calm, low-key River Valley neighbourhood mall — more for groceries, cafés, fitness & everyday convenience than serious shopping. || Remember when the mall was a pet-friendly haven? We could bring our furry friends along and enjoy our breakfast / coffee together. But sadly, that’s not the case anymore, “No Pets ... || A smaller and older shopping centre in the River Valley area. It houses 1 supermarket (Fairprice) and 1 specialty shop cum restaurant (Little Farms), a few more eateries, a gym, a ...","This MRT station boasts an impressive network of underground walkways, providing convenient access throughout the River Valley area, including Great World City. The station's moder... || Very spacious and clean station. Take Exit 2 or 6 to Great World City mall. || New MRT station. Located in Great World City. Got a few gates — 6 gates. Some of them still under construction, some open already la. Then how to go in and go out. Normal MRT stati..."
River Valley,Leonie Hill,14,8,5,10,9,4,4.455,4.243,4.15,4.433,4.025,4.267,89.1,84.86,83.0,88.66,80.5,85.34,40,25,5,30,17,0,4.4,4.36,4.2,4.167,3.765,0.0,1,0,0,2,0,0,2,0,0,0,0,0,1,1,0,4,0,0,0,1,0,1,2,0,3,4,4,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,4,3,0,5,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,0,-1,0,0,2,0,0,1,0,0,3,-2,0,3,3,4,2,0,0,2,0,1,-1,0,0,4,3,0,5,1,0,0,0,0,-2,0,0,"Our child has absolutely blossomed at Little Village. Their teachers are gentle and wonderful, the school is gorgeous with plenty of outdoor space and a curriculum that is focussed... || my kid loves going to school, that tells a lot: great environment, great staff and the teachers are very attentive. The 3 big outdoor playgrounds are what theyl toddlersneed for th... || Both my kids go to Little Village and we absolutely love it. It makes school such a happy place - they learn so much through play and they are always happy going to school! 1) Chil...","it was my favourite place to come to for the curry rice n bak chor mee. the bak chor mee remains on point but the beach road curry rice is disappointing. the meat is pathetically t... || A small yet cozy food court at ION Orchard. It has stalls such as King Fried Rice, Chef Wei Cheong Fun, Pang Hakka Yong Tau Fu, Beach rd Cury rice & Eunos Bak Chor mee. I've tried ... || Review of Hawkers’ Street @ ION Orchard Hawkers’ Street was added about five years after ION Orchard first opened, and its inclusion fits perfectly with the mall’s premium yet acce...","A very safe, comfortable, clean and beautiful residence, you can see the amazing sunset from here || There's no reason why this development can be left in shambles, and common areas are so poorly lit. The parking lots are dim, and the staircases aren't lit. I fear for children's s... || This is the most comfortable apartment I've ever lived in,Leasing Agent Christine of the apartment is very serious and responsible.The public facilities of the apartment are very c...","I visited for a HYROX trial. Even though it was my first time using any of the gear, the instructors were super helpful and patient. It’s a fantastic gym for all levels, whether yo... || check in was confusing because it was to be done on this ipad in the corner of the gym. very confusing for first timers. basically a YGIG workout but the way the workout was displa... || Big fan of the programming and the coaches. I’m there several days a week and at 43 in the best condition of my life! Can’t say enough for these folks.","A decently-stoked neighbourhood FairPrice but please be extra cautious and check fresh produce before purchasing. We have bought rotten and mouldy pre-packed fruit twice (separate ... || Staff are always friendly and patient. Always willing to help. Recently, focus is on using the self check out stations which needs some getting used to.... especially with discount... || Why you nvr check age of ppl buying alcohol drinks?? You sold alcohol to my kid!! Didn't get receipt cannot exchange. Staff are polite but they're bots. Always ask if you need a ba...",
River Valley,One Tree Hill,13,9,10,12,7,4,4.373,4.322,4.58,4.567,3.329,4.4,87.46,86.44,91.6,91.34,66.58,88.0,40,25,35,54,15,11,4.475,4.48,4.829,4.593,2.533,4.545,2,1,15,2,0,0,0,0,1,5,0,0,0,0,4,3,0,3,1,3,1,4,0,1,3,0,5,10,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,14,-3,0,0,-1,-3,3,-1,0,2,3,0,5,9,-1,2,0,0,0,0,0,0,0,2,5,2,1,4,0,-1,0,2,0,0,"Maplebear one tree hill has been an amazing school for our son. It ticks all the boxes that we were looking for in a school. The teachers and management have been so lovely and ple... || Our kid has been attending Maplebear OTH for the past 1.5 years and the experience has been amazing. He has met his milestones and thrives in their environment. Teachers are patien... || Maple Bear One Tree Hill has been a wonderful experience for our little one. The teachers are loving, approachable, and continuously come up with creative and engaging activities f...","FC3 has been through a lot. After SG’s 2020 Circuit Breaker during COVID-19, many food stalls closed down. New hawkers came into the picture, but still leaves much to be desired an... || Singapore Poly's FC3 is the secret hideout of one of the top 10 chicken rice places in Singapore. See pictures. || Recommend wok stall's salted egg chicken rice and sambal chicken cutlet fried rice. Waffles shop is good too. Generally prices are very reasonable. Food court closes slightly later...","Home to some of the beautiful wild life. I love this place as it's less crowded compared to other famous park. It also has very nice scenery to the southern sea area or to the city... || Kent Ridge Park is one of those underrated gems in Singapore that beautifully blends nature, fitness, and history into one experience The park offers a surprisingly diverse terrain... || I went here around 4:30 pm on Saturday. There were not so many visitors. The place was queit. There were some photo spot especially the one which face the harbour. My favorite was ...","My usual go to gym in town very spacious, fully equipped They just did renovation recently and upgraded some machines Also engaged my PT Fairuzi from here he’s very professional an... || Just renovated with many fresh and new equipments. Best gym especially for legs day || Anytime Fitness ValleyPoint has to be the nicest outlet I’ve ever been too! The newly renovated branch has so many machines that I can try. What I love especially is the huge showe...","Male staff, wearing spectacles, has no customer service. Unfriendly, unapproachable. He made me feel as if i owe him a living - but I am just buying things there. I believe managem... || chinese lady cashier of older age attended to me on 3/8/25 at 12.37pm. she was extremely rude and unprofessional, if i could give zero stars i would. when asked to redeem a voucher... || Rude! Rude! Rude! The worst 7 Eleven I have ever visited. Indeed the older lady is Rude and so is the big guy in glasses. They should stay at home if they hate their work so much.","🟤 Took the train from Orchard Station (➡️ TEL line aka Thomson East-Coast Line) to Great World Station several times to shop at Great World City Mall. 🟤 Photos shows you the direct... || Had been here accompanied escorted my dad, it seems I were successfully balloted for a pair of NTUC NDP Bay Celebrations tickets. The images also indicate that the collection point... || Nice new MRT many exits have great staff and it is very clean. Although takes a long time to get to the platform from ground level. Nice place and area as well."
River Valley,Oxley,14,9,7,11,8,4,4.4,4.278,4.317,4.3,4.425,4.275,88.0,85.56,86.34,86.0,88.5,85.5,26,25,5,40,16,3,4.885,4.12,4.6,4.15,3.75,5.0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,6,1,0,3,0,1,2,1,8,1,0,1,2,0,2,0,0,2,0,0,1,1,0,0,0,0,2,0,0,3,0,0,2,3,1,1,0,0,0,0,0,2,3,0,1,1,0,0,2,0,1,0,0,0,0,1,1,1,0,1,-6,0,1,-3,0,0,0,1,6,1,0,2,0,0,-1,1,0,2,0,0,2,3,1,2,1,0,0,1,0,"My daughter is so happy here! She brings home Challah every Friday and is proud to celebrate Shabbat with her family! She especially loves all the painting and messy play they do t... || Ganenu provided our family with a truly memorable experience during our summer in Singapore. The staff was exceptional, creating a warm and welcoming atmosphere for our child. The ... || My Daughter had the most fun and educational summer in Ganenu! The teachers gave so much love and patience to my daughter, and she was thrilled to go there every morning. Great jew...","This hawker center was the first place I visited right after I landed in Singapore. Personally, I cannot say that this was the best in Singapore since I have not yet tried other pl... || Newton Food Centre is a must-visit in Singapore. Lively, authentic, and packed with incredible food options, it’s everything you want from a classic hawker centre. The variety is o... || • Food The food selection at this center is a reliable choice for local flavors. The chicken wings and satay are particular highlights, especially when paired with a cold beverage....","It was a breezy morning on December 8, so we decided to take a walk along the Alexandra Park Connector again. The canal was exceptionally clean, beautifully reflecting the surround... || Nice pathway for walks - saw several flora and fauna along the way. || It was a nice walk from Queenstown MRT to Robertson Quay via the Alexandra Park Connector. The stretch of Alexandra Park Connector is not long, and the portion starting from the co...","BFT RV is one of my happy places. The session is less than one hour, I can switch off my brain and get the workout done. It’s very efficient and effective. The coaches are all so f... || Making my way to the RV studio for a killer workout has been the best part of my daily routine since becoming a member in May this year! Pushing your body to the limits is no fun B... || Had a great session at BFT AGAIN today! A shout- out to coaches Hassan , Greg, Trixie, Nami and Camy for being the best coaches ever. The 8 week challenge is also lots of fun. Also...","Clarke Quay Central is a great mall with a fantastic view of the Boat Quay riverside 🌊🚤✨. It has a wide variety of shops to explore, and you can even find some discounted items at ... || It has been a while since I was last here - at this, in the Chinatown area, shopping mall that is patronised by locals and tourists alike. While I have always found the layout and ... || ​Clarke Quay Central is undeniably awkwardly built, featuring a quirky layout that defies standard mall logic. The placement of shops and odd corners often cuts off the natural flo...",There is a bicycle rental store nearby the bus stop.
River Valley,Paterson,16,10,10,12,9,6,4.292,4.39,4.38,4.242,4.178,4.217,85.84,87.8,87.6,84.84,83.56,84.34,30,10,15,24,30,12,4.033,4.8,4.333,3.875,3.733,4.333,0,0,1,1,1,1,0,0,0,3,0,0,1,1,1,1,2,0,0,1,2,5,0,0,2,0,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,-2,1,1,1,0,-1,-4,2,0,2,0,3,2,2,4,0,0,0,0,0,0,3,0,0,1,3,3,0,3,0,1,-1,0,"I have sent all three of my boys to Little Hands Montessori throughout the years, two of them currently still there. You would not believe how amazing they have turned out. Little ... || It has been a wonderful time for my son in this school. It’s a really Great school, friendly staff and lots of co-curricular activities apart from the montessori work. He’s learnt ... || I love this school so much! Amazing teachers, amazing program. I will highly recommend this school to anyone I know. My daughter and my son grew academically and emotionally within...","The people there are very nice, also with the AC, the place is very comfortable. One of the best food courts in Singapore Poly || The western food store not bad. Had grilled chicken breast plus two sides. Good quality food value for money || I got the cheese omelette curry rice for only $4! The food here is cheap, affordable and tasty!","Beautiful condo with phenomenal facilities. My Uncle own an apartment here. We go there frequently to spend quality time. || Good condo to stay in Conducive for kids due to the garden walk and playground. Very clean and well maintained. || Large apartments, attached ensures in every rooms.","My 3 kids “graduated” from swim lessons with AQZOG swim school with Coach Raymond at Delta pool. we only started in September 2024, in less than 2 years. No choice..nobody to bring... || Pool facilities and infrastructure are pretty good with 1 Olympic lap pool and 1 teaching pool. Toilets are mostly clean with around 12 showers (Men) and for an entry price of $1 o... || Very decent, neatly maintained community pool. Toilets are clean and it has separate changing rooms for kids and adults. As like any other place, based on the crowd and people your...","Paragon has been a familiar hangout spot for me for many years, and it’s still one of Orchard Road’s most dependable malls. It has a classy, spacious feel and remains a great place... || This is a modern upscale 6 level shopping mall right in the heart of Orchard Road. Most people who shop here knows what they want and they just go straight to the shop. Others come... || A wonderful and good shopping experience having good brands like Prada and Gucci in them. It also has amazing food and restaurant options on the basement level. The best food you c...","Passed by here for a transit. It was interconnected, with a nice walk to the respective MRT lines. Everything there is clean and polished. The toilet is immaculate too, with enough... || Its a lively street in the evenings. Singapore sleeps early so these streets also sleep off 😴. Visit during Daytime and evenings eat the Bread Ice-cream and have a nice time . Some... || I love this new Brown Line Mrt, Orchard Boulevard, huge clean Area, really easy to get to Wheelock place, Shaw Center, Paterson through underground, few stops from Orchard to Marin..."
