planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Yishun,Lower Seletar,recreation,10,4.9,11,1,0,1,2,0,0,0,4,0,1,0,"The building interior appears to be quite old, and the space does not seem to be effectively utilised. It feels like it could be better planned, but the SAFRA membership is very af... || Many activities at Safra Yishun for family and a swimming facility with 5 pools including kids and jacuzzi 😘🤩 Female toilet at swimming pool needs to upkeep as flushing is always d... || Recently we planned bbq, it is good location as it is near to housing estate. The chair and table were a bit worn out so you need to do some cleaning first. I see that there is a p...",10,-1,2,0,4,1
Yishun,Lower Seletar,nature,10,4.9,16,1,1,2,3,0,0,0,0,0,0,0,"Lower Seletar Reservoir Park is such a peaceful and scenic spot in Singapore! 🌅 The waterfront views are beautiful, especially during sunrise and sunset, and the park is very well ... || 10/10, would absolutely paddle back for this again. 🌅🚣‍♂️ The sunrise kayak + breakfast tour was such a peaceful, feel-good start to the day. Ali and Shiva were fantastic, friendly... || The park is beautifully maintained, with a delightful variety of flowers that add color and charm to every corner. Each pathway feels inviting, filled with vibrant blooms and natur...",15,-1,3,0,0,0
Yishun,Nee Soon,education,10,4.7,1,2,1,1,3,0,0,0,0,0,0,0,"Yishun library is located at the 4th level of Yishun Northpoint City (North wing). A modern designed and cosy place, but is smaller size as compared to the other libraries being si... || Been coming here a lot. Love the place and the small reading nooks. It can get crowded with a lot of students but plenty of spaces you can find. I live that their collection of fic... || Yishun Library moved over to Northpoint lv 4 since ages ago from the Blk 290 near where POSB Yishun North branch is located. Been here multiple times, it’s clean and very cosy to b...",-1,0,3,0,0,0
Yishun,Nee Soon,transport,10,3.9,0,0,0,3,1,0,1,0,8,0,0,0,"Always the escalator is in maintenance during peak hour. Not sure what is the management thinking and most tourist coming to take the shuttle bus to zoo. Almost every month and mai... || Came here just because TEL thomson MRT will start operation at 8.30am on every Saturdays from 22 june to 4 july. My job starts at 7am , so i had to take bus 855 from opp khatib bus... || One of our earlier MRTs with a simple, grassroots vibe. And with a Giant of its own, which is a different vibe again from the ubiquitous NTUCs which seem to be taking over ever oth...",0,-3,1,1,8,0
Yishun,Nee Soon,food,10,4.4,0,0,0,3,3,0,0,0,0,0,0,0,"A good bowl of Lormee should have that thick, gooey yet smooth gravy and packed with flavour. Unfortunately, this Lormee at Yishun Park (早碗见面 Lor mee & Satay Beehoon) , gravy was d... || Family went there for lunch on a Saturday at around 1130H. It was not too crowded, and we managed to find a table without needing to wait. Parking was okay too. The hawker centre w... || I would like to introduce a delicious Pao Fan at Stall 01-35A if you are dining at Yishun Park Market, 51 Yishun Ave 11. Look for Chef Kelvin — he is very polite and courteous. The...",0,-3,3,0,0,0
Yishun,Nee Soon,shopping,10,4.2,0,0,0,5,2,0,0,0,3,0,0,0,"My first visit to this authentic korean BBQ resturant to celebrate Mother's Day on 02 May 2026 in advance.The ambience is cozy and the Manager Mdm Marie is approachable and patient... || A very beautiful mall in the west side.mall is within mrt station.many foods to eat:fast foods,snacks, kopitiam food court, shopping here is also good.there r many shops here such ... || Had a really pleasant dining experience at 店小二. The food was delicious, well-seasoned, and served in generous portions. Every dish tasted fresh and flavorful. The staff were friend...",0,-5,2,0,3,0
Yishun,Nee Soon,recreation,10,4.9,0,0,1,1,1,0,0,0,4,0,1,0,"Awesome place with many facilities and some F&B establishments. Adventure HQ is fantastic for kids and adults alike, with a huge play area with many obstacles and slides, as well a... || I was attended by a Fitnessworkz staff (Syarf, if I did not spell his name wrongly). He is patient & shared good information. Gym is good & have quite a few Hyrox equipment. Good p... || Highly recommend Deluxe Mancave for private gathering. Equipped with the necessity and able to create cosy ambience. Staff is very attentive and offer the help you needed.",0,0,1,0,4,1
Yishun,Nee Soon,nature,10,4.5,8,0,1,2,1,0,0,0,0,0,0,0,"The park itself is fine if you don't intend to go onto the other side of the waterway because the number of bridges linking the two sides are few and far apart. I am not sure why i... || Great place for a family walk. Quite a lot of wildlife and nature you can spot here if you look closely. || Nature's serenity and wonder, 😜 if you don't mind just a quiet morning walk or family walk ☺️🍀😎💕👍🏽🌈",8,-1,1,0,0,0
Yishun,Northland,education,10,4.7,1,2,1,1,3,0,1,0,0,0,0,0,"Yishun library is located at the 4th level of Yishun Northpoint City (North wing). A modern designed and cosy place, but is smaller size as compared to the other libraries being si... || Been coming here a lot. Love the place and the small reading nooks. It can get crowded with a lot of students but plenty of spaces you can find. I live that their collection of fic... || Yishun Library moved over to Northpoint lv 4 since ages ago from the Blk 290 near where POSB Yishun North branch is located. Been here multiple times, it’s clean and very cosy to b...",-1,0,3,1,0,0
Yishun,Northland,transport,10,3.1,0,0,0,2,2,0,1,0,6,0,0,0,"Feels good n better with connection escalator to Northpoint. With also shuttle bus to KTPH oso at bus stop. Used to stay around this area so seeing the walkway shelter up was reall... || Yishun MRT Station, located on Singapore’s North-South Line (Red Line), is one of the most convenient and well-connected MRT stations in the northern region. Whether you’re commuti... || Yishun MRT Station in Singapore is a busy yet well-connected transport hub on the North-South Line that links seamlessly with the Yishun Bus Interchange and Northpoint City mall, o...",0,-2,2,1,6,0
