planning_area,subzone,education_count,food_count,nature_count,recreation_count,shopping_count,transport_count,education_avg_rating,food_avg_rating,nature_avg_rating,recreation_avg_rating,shopping_avg_rating,transport_avg_rating,education_rating_100,food_rating_100,nature_rating_100,recreation_rating_100,shopping_rating_100,transport_rating_100,education_review_count,food_review_count,nature_review_count,recreation_review_count,shopping_review_count,transport_review_count,education_avg_review_rating,food_avg_review_rating,nature_avg_review_rating,recreation_avg_review_rating,shopping_avg_review_rating,transport_avg_review_rating,education_noise_positive_mentions,food_noise_positive_mentions,nature_noise_positive_mentions,recreation_noise_positive_mentions,shopping_noise_positive_mentions,transport_noise_positive_mentions,education_noise_negative_mentions,food_noise_negative_mentions,nature_noise_negative_mentions,recreation_noise_negative_mentions,shopping_noise_negative_mentions,transport_noise_negative_mentions,education_crowding_positive_mentions,food_crowding_positive_mentions,nature_crowding_positive_mentions,recreation_crowding_positive_mentions,shopping_crowding_positive_mentions,transport_crowding_positive_mentions,education_crowding_negative_mentions,food_crowding_negative_mentions,nature_crowding_negative_mentions,recreation_crowding_negative_mentions,shopping_crowding_negative_mentions,transport_crowding_negative_mentions,education_cleanliness_positive_mentions,food_cleanliness_positive_mentions,nature_cleanliness_positive_mentions,recreation_cleanliness_positive_mentions,shopping_cleanliness_positive_mentions,transport_cleanliness_positive_mentions,education_cleanliness_negative_mentions,food_cleanliness_negative_mentions,nature_cleanliness_negative_mentions,recreation_cleanliness_negative_mentions,shopping_cleanliness_negative_mentions,transport_cleanliness_negative_mentions,education_safety_positive_mentions,food_safety_positive_mentions,nature_safety_positive_mentions,recreation_safety_positive_mentions,shopping_safety_positive_mentions,transport_safety_positive_mentions,education_safety_negative_mentions,food_safety_negative_mentions,nature_safety_negative_mentions,recreation_safety_negative_mentions,shopping_safety_negative_mentions,transport_safety_negative_mentions,education_convenience_positive_mentions,food_convenience_positive_mentions,nature_convenience_positive_mentions,recreation_convenience_positive_mentions,shopping_convenience_positive_mentions,transport_convenience_positive_mentions,education_convenience_negative_mentions,food_convenience_negative_mentions,nature_convenience_negative_mentions,recreation_convenience_negative_mentions,shopping_convenience_negative_mentions,transport_convenience_negative_mentions,education_price_positive_mentions,food_price_positive_mentions,nature_price_positive_mentions,recreation_price_positive_mentions,shopping_price_positive_mentions,transport_price_positive_mentions,education_price_negative_mentions,food_price_negative_mentions,nature_price_negative_mentions,recreation_price_negative_mentions,shopping_price_negative_mentions,transport_price_negative_mentions,education_noise_net_mentions,food_noise_net_mentions,nature_noise_net_mentions,recreation_noise_net_mentions,shopping_noise_net_mentions,transport_noise_net_mentions,education_crowding_net_mentions,food_crowding_net_mentions,nature_crowding_net_mentions,recreation_crowding_net_mentions,shopping_crowding_net_mentions,transport_crowding_net_mentions,education_cleanliness_net_mentions,food_cleanliness_net_mentions,nature_cleanliness_net_mentions,recreation_cleanliness_net_mentions,shopping_cleanliness_net_mentions,transport_cleanliness_net_mentions,education_safety_net_mentions,food_safety_net_mentions,nature_safety_net_mentions,recreation_safety_net_mentions,shopping_safety_net_mentions,transport_safety_net_mentions,education_convenience_net_mentions,food_convenience_net_mentions,nature_convenience_net_mentions,recreation_convenience_net_mentions,shopping_convenience_net_mentions,transport_convenience_net_mentions,education_price_net_mentions,food_price_net_mentions,nature_price_net_mentions,recreation_price_net_mentions,shopping_price_net_mentions,transport_price_net_mentions,education_representative_reviews,food_representative_reviews,nature_representative_reviews,recreation_representative_reviews,shopping_representative_reviews,transport_representative_reviews
Tengah,Brickland,18,9,12,11,10,6,4.443,4.489,4.525,4.573,4.17,3.9,88.86,89.78,90.5,91.46,83.4,78.0,66,41,50,41,50,29,4.318,4.317,4.56,4.171,4.02,3.621,4,3,8,3,2,4,2,1,0,4,1,0,4,1,2,3,4,0,1,1,2,3,6,2,12,1,2,7,4,1,0,0,0,0,0,0,4,0,2,0,2,0,1,0,1,0,1,0,3,0,5,6,11,5,0,0,1,0,0,0,1,5,0,3,2,0,2,1,0,0,0,0,2,2,8,-1,1,4,3,0,0,0,-2,-2,12,1,2,7,4,1,3,0,1,0,1,0,3,0,4,6,11,5,-1,4,0,3,2,0,"Our family has been part of the Clementi Woods Kindergarten (CWK) community for several years, and we couldn’t be more grateful for the experience. From day one, CWK has felt like ... || A fairly good kindergarten with kind and helpful staff. The admin team is really good and accommodating. However, the start of each day at CWK is overstimulating for a preschooler ... || This is the best kindergarten you can send your child to. All my four children attend this kindergarten. It is not expensive. They have a holistic program that expose your child to...","This would be my First and Last❗️ Went to this cai fan stall. And I’m shock when he told me the pricing for my plate is $5.20. - sprouts with no meat or tofu (some stall I went do ... || Disappointed. They charged $0.30 for a regular polystyrene takeaway box — not about the money, but is this even reasonable? Skewers were tough and tasteless, and the crayfish didn’... || Yummy pancake: Avoid the hum-jim-peng, the flour is lumpy and hardened when fried. Totally unpalatable. I must give one star for the food. Where is the ethic of food seller? This d...","Visited in March 2024. The abandoned park is fairly dangerous in certain areas, particularly the famed Torii boardwalk, which is a great way to cross from the human world to the la... || Both Hillside Park 1 and 2 are essential climate control mechanism which are highly beneficial to the health of residents within a 1km radius from its location. We must protect Hil... || Challenging path for beginners like me... luckily experience hikers tied pink and yellow ribbon on trees... Adventures journey to the top... Jiayoh, you also can do it to find the ...","Amazing staff here, they helped with all my queries and application to the gym! Equipments are new and great. Would highly recommend this gym for your next workout! || The newly opened gym at Parc Point in Tengah. The facility looks modern and well equipped, with a good range of cardio machines, strength equipment, and free weights. The space is ... || 4 squat racks, nice vibe, helpful, friendly and attentive staff!","1 March 2026: A newly opened large complex featuring a polyclinic, food court with numerous options, Ntuc Fairprice, Anytime Fitness and many other shops. High ceiling and good ven... || The Luckin Coffee in Parc Point just opened today, 6th May. It has outdoor and indoor seating and is really cosy. Seating is also well spaced out. What's really attractive now is t... || big store. indoor and outdoor seating. only 1 kiosk. no counter. no much people cause just open. fast service. got grab and panda delivery.","The exterior looks cool and detailed The tracks also need to be split just like other stations so that may cause problems on the NSL. || This station is scheduled to open in 2034. It is part of the NS line, between CCK and Bukit Gombak station. || Even though it haven't opened, the artist's impression looks wonderful."
Tengah,Forest Hill,17,9,12,11,8,6,4.492,4.278,4.517,4.56,4.125,3.933,89.84,85.56,90.34,91.2,82.5,78.66,33,40,37,32,25,14,4.455,4.2,4.73,4.75,3.84,3.714,2,4,18,3,0,0,0,0,0,1,0,0,0,2,2,1,0,0,1,2,3,0,5,1,1,7,0,8,2,1,0,0,0,0,1,0,3,0,1,2,1,0,0,0,0,0,0,0,1,4,6,3,4,2,0,0,0,0,0,0,0,2,0,1,1,0,0,3,0,0,1,0,2,4,18,2,0,0,-1,0,-1,1,-5,-1,1,7,0,8,1,1,3,0,1,2,1,0,1,4,6,3,4,2,0,-1,0,1,0,0,"We are very happy with the nursery school and the care provided by the teachers. The teachers are kind, patient, and supportive. Our child enjoys going to school and has shown good... || I would give 10 stars if I could!!! My son started N1 this year and he is having such a fun time in school. Special shoutout to his teachers (teacher Ping 游老师) who make school so f... || S4K has been a wonderful school for my child. This can be seen through his behaviour whenever he go to school. The teachers are caring and patient, and they make sure my child feel...","Another addition to the list of over-rated food centres in Singapore. A rather large food centre, but food is not up to par. My taste buds have yet to be pleasured by any of the of... || I like to suggest that Ghim Moh food n hawker centre is a good or better places to go during breakfast n lunch Has a nice variety of delicious hawker food congregated under one roo... || Found this chai fun store at the coffee shop with 40 dishes and friendly staff. At 10AM, all the dishes were out, hot and fresh!!","I prefer to walk here instead of Mt Faber becos this hill is less touristy. And hence less crowded. Weekdays are even more peaceful & tranquil. Air is fresh… Gd for de-stress. Howe... || From Commonwealth, we jogged and walked all the way to Telok Blangah Hill Park. The climb was challenging, with steep stairs uphill, but the experience was absolutely worth it! 🏃‍♂... || Visit the hill park during weekday evening. Take grab and alight at car park, very easy to spot the the hill. Attach photo do show that is not many people around during weekday. To...","I came to this gym as a beginner, and it’s been a great experience so far. The environment is welcoming, and the equipment is clean and easy to use. They even have a rowing machine... || Vibrant good energy in this gym, makes me motivated to work out and keep fit! ☺️ so glad there’s such a welcoming gym in this area~ || Absolutely thrilled to have this new fitness centre in the area! The facility is modern, spotless, and equipped with everything needed for a great workout. What really sets it apar...","I visited Plantation Plaza at Tengah and found it clean, modern, and convenient. There is a good mix of food and retail shops, making it a nice place for daily shopping and meals. || I love how this lively plaza shows up out of nowhere in ulu Tengah and serves thousands of residents. I saw CNY decoration but failed to spot the CNY Zodiac predictions though.. || If you hungry , eat here 😋 price is slightly lower $5.50 per set , fried chicken set value for money","MRT station for NUH. For NUS, you will need to walk a little or take bus. The station is quite deep and the escalator up is very long. || Muhammad fairuz is worth complimenting. I was feeling breathless, he wheelchair me down and even call the bishan circle line to assist met when I reached there. Such kindness is he... || Drink already ready.. juat sit at it while making other things and make customer wait. Am the only customer at that time. Then came another customer, instead of giving the ready dr..."
Tengah,Garden,15,9,10,10,7,4,4.28,4.078,4.63,4.47,4.029,3.725,85.6,81.56,92.6,89.4,80.58,74.5,15,25,25,14,10,5,4.0,3.88,4.32,4.5,3.5,5.0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,3,1,0,0,2,2,3,0,0,0,1,0,2,2,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,5,5,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,2,0,0,-2,0,1,0,0,0,-1,2,2,0,0,0,3,0,0,0,2,2,5,5,2,0,0,1,2,0,0,0,"Overall, Millennia Institute serves as a valuable alternative pathway to the A-Levels. It is particularly suitable for students who prefer a steadier academic pace, appreciate a su... || horrible school, horrible bio.dept, little to NO support to students due to lack of funds 🤑, they’re falling behind other jc. the exam papers are so easy that they provide a sense ... || Worst place ever. So many Hdb are near it and so many events are happening there like sports day which they always need to shout plus Every Monday or Friday night a very big light ...","best old style hawker centre. only difference is, over here all the stalls are opened for business and doing great business. very lively and makes me hungry. all the food looks so ... || Update: 18 Mar 26 Today dabao-ed Chicken Pho (鸡肉荡粉), at $4.20 from Vietnam Pho SG for my daughter's lunch. She feedback that the meal is delicious 😋 ___________________ I recently ... || More new big fans are installed Food remains intact, as usual My fav orders are 1. Chicken rice 2. Lor mee 3. Laksa 4. Teochew kueh 5. Penang char kway teow 6. Not a fan of mala, b...","Compared to the other Parc developments in Tengah, for example the Tengah Garden Walk, the lack of amenities, coffeeshops and eateries for residents here is honestly disappointing.... || My New Home hahaha, 3rd comment || mine too","Here’s why you should visit the brand new Anytime Fitness Tengah CC! 💪🌿 ✅ Pros: accessible for those living nearby, brand new facilities, natural light ❌Cons: not too accessible fo... || Anytime Fitness Tengah is a fantastic gym with all the amenities you need for a great workout experience! The gym is spacious, well-equipped, and spotlessly clean, with a wide vari... || Nice and clean gym with well-maintained equipment and a good variety for different workouts. The space feels comfortable and not too crowded. One thing that could make the experien...","While I did not encounter any rude staff per se, and in fact one of the staff at the payment counters was actually pretty friendly, the odd thing was that nearly every aisle had so... || On 28th November at approximately 11:00am. The behaviour displayed by one of your staff members was concerning, highly unprofessional, and left both myself and other customers unco... || A convenient supermarket at Plantation Plaza with a good selection of daily essentials, groceries, and fresh produce. The store is clean, well-organized, and the staff are polite a...","You can use Chinese Garden MRT to reach here. This place is so relaxing and very comfartable to go walking, jogging and even just sitting at the bench. || During the week the gardens are very quiet. The weekends it becomes much busier. Weekends are great for extroverted folks week days are great for introverts. || Chinese Garden was beautiful. A lovely location for a picnic & evening stroll"
Tengah,Park,15,6,11,10,7,4,4.445,4.283,4.418,4.54,3.971,3.533,88.9,85.66,88.36,90.8,79.42,70.66,17,10,9,12,5,0,4.118,4.8,4.444,4.417,1.6,0.0,0,0,2,0,0,0,0,2,0,2,0,0,0,2,0,1,0,0,0,2,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,-2,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,-1,0,1,0,0,1,0,1,3,1,0,0,0,0,0,0,0,"Worst polyclinic that is most inaccessible by bus and by car. Followed the gps and almost turned right at a traffic with no right turn and was misled into taking the bus lane. Had ... || My mum was late for 30 mins of her appointment and they cancelled her appointment which supposed to be 8:30am, she had a bit hard time finding her way and reached 9: 05am......... ... || Feeling 30% better looking at the facade of our future polyclinic! Tengah residents is truly fortunate to have accessible and quality healthcare services !","Have always like their Coconut Latte. Though I suppose coconut milk isnt supposedly healthy, will still come back for it. This outlet always has many orders, but I usually see more... || It's spacious. Many seats. Not crowded. Aircon. Staff very polite. Too bad Parc Point is quite inaccessible unless you stay in Tengah. || Very efficient!","Good view from the high floor, walking distance also to future Tengah Town Centre! || All the way from Tampines to here... Nice place for the kids! They enjoy the tall slide... || New Town!! Awesome design!!","Yesterday was my baby first trial class and im impressed! The front desk are very friendly and helpful to share process. Coach Ya Lee was also very engaging for my baby. The enviro... || I attended a trial lesson, and it was excellent experience. My child is two years old, and the coach gave a patient one-to-one lesson. Will sign up 5 classes continue learning. || We chose the Tengah outlet based on my sister’s recommendation, mainly because of the indoor heated pool and convenient changing/shower facilities, perfect for our 6-month-old baby...","Found a hidden gem! Discovered a convenient 7-11 right beside the famous Thai restaurant. It has ample space with side tables and chairs—perfect for a quick and comfortable dine-in... || The tattooed Indian lady who is usually on the night shift, including today (31/3), has been frequently absent from the counter. She was not present at the shop for almost 15 minut... || Beware of this 7-11 prices. I went to buy Po Chai pills and label stated $7.50. The attitude cashier told me to use self check-out instead and price became $9.80. I went to the sta...",
Tengah,Plantation,17,6,7,9,6,4,4.543,4.367,4.571,4.578,3.883,3.867,90.86,87.34,91.42,91.56,77.66,77.34,27,20,14,6,5,1,4.667,4.35,4.786,4.833,4.2,4.0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,1,1,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,2,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,-3,0,0,1,1,1,2,0,0,1,-1,0,1,0,0,3,2,1,3,0,0,0,2,0,-1,0,0,"My child has been in this preschool since he was 1.5 years old, and has always received care and attention from the teachers. The teachers are very patient in teaching him, and the... || Love the school and kudos to the principal as well as all teachers who put a lot in effort in teaching and cca activities. The school provides Robotic class and Wushu classes every... || Friendly teachers and staff that go the extra mile, good student-teacher ratio and a cosy environment. Update: Change in management to Kensington has led to an injection of investm...","Home-based coffee! Tried their ice matcha oat milk and white. Balance blend of coffee and milk. Affordable price too! Will definitely order again! || Home-based coffee, came across this coffee from xiaohongshu. Remember to order via their Instagram page. I ordered ice white, the coffee is affordable and tastes good. I personally... || First time ordering and was pleasantly surprised! The black sesame latte was fragrant and owner was thoughtful to prepare the drink fresh for collection. Will order other drinks to...","nice place to take photo and garden || Nestled between Plantation Plaza and Tengah CC, this playground offers various play equipment for different ages. Quite nice and spread out. There is also an exercise area beside. || a water for leg place i guess took some photo because aesthetic and the water work.","For Tengah resident who needs pull up bar for exercise, here is a good location. || Many different sections do play in. For 1hr, 2 kids, 1 adult, it’s already $51+. Note! Very impt!!! Please bring your own non slip socks as they make you buy their non slip socks a... || Having a really great time here! Both kids and adults enjoy the cozy bouncy castles. Definitely will come and play again next time! (PS. We need more inflatable park in SG!) 💕🛝🎈🏰","Amenities around the place not opened yet. Roads still under construction, with only one lane open. || You can get just about anything at this beautiful mall. || Retail street within Tengah estate.","Bus arrived timely, but for those who have to wait a long time this bus stop may not be very good due to its lack of seats. Thankfully it seems that this is only temporary"
Tengah,Tengah Industrial Estate,15,8,11,9,8,4,4.333,4.075,4.5,4.578,4.037,3.533,86.66,81.5,90.0,91.56,80.74,70.66,11,5,4,1,4,0,4.636,5.0,5.0,5.0,5.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,A really nice place || Greatest Place on EARTH || nice place,"Tried quite a few home-based coffee spots and this one’s my favourite so far. The coffee’s smooth and super aromatic, and prices are very affordable! Highly recommended for any cof... || coffee taste is strong ! ordered double shot || Yum yum coffee","We had a very fun time at the sand playground. The obstacles can be challenging, and the sand goes quite deep! || Not alot of sand playground in SG but having this at Tengah is awesome! || Very nice sand playground suitable for small kids and big kids!",,Very neat and well organised minimart || Staff/boss are very friendly and patience,
