planning_area,subzone,education_count,food_count,nature_count,recreation_count,shopping_count,transport_count,education_avg_rating,food_avg_rating,nature_avg_rating,recreation_avg_rating,shopping_avg_rating,transport_avg_rating,education_rating_100,food_rating_100,nature_rating_100,recreation_rating_100,shopping_rating_100,transport_rating_100,education_review_count,food_review_count,nature_review_count,recreation_review_count,shopping_review_count,transport_review_count,education_avg_review_rating,food_avg_review_rating,nature_avg_review_rating,recreation_avg_review_rating,shopping_avg_review_rating,transport_avg_review_rating,education_noise_positive_mentions,food_noise_positive_mentions,nature_noise_positive_mentions,recreation_noise_positive_mentions,shopping_noise_positive_mentions,transport_noise_positive_mentions,education_noise_negative_mentions,food_noise_negative_mentions,nature_noise_negative_mentions,recreation_noise_negative_mentions,shopping_noise_negative_mentions,transport_noise_negative_mentions,education_crowding_positive_mentions,food_crowding_positive_mentions,nature_crowding_positive_mentions,recreation_crowding_positive_mentions,shopping_crowding_positive_mentions,transport_crowding_positive_mentions,education_crowding_negative_mentions,food_crowding_negative_mentions,nature_crowding_negative_mentions,recreation_crowding_negative_mentions,shopping_crowding_negative_mentions,transport_crowding_negative_mentions,education_cleanliness_positive_mentions,food_cleanliness_positive_mentions,nature_cleanliness_positive_mentions,recreation_cleanliness_positive_mentions,shopping_cleanliness_positive_mentions,transport_cleanliness_positive_mentions,education_cleanliness_negative_mentions,food_cleanliness_negative_mentions,nature_cleanliness_negative_mentions,recreation_cleanliness_negative_mentions,shopping_cleanliness_negative_mentions,transport_cleanliness_negative_mentions,education_safety_positive_mentions,food_safety_positive_mentions,nature_safety_positive_mentions,recreation_safety_positive_mentions,shopping_safety_positive_mentions,transport_safety_positive_mentions,education_safety_negative_mentions,food_safety_negative_mentions,nature_safety_negative_mentions,recreation_safety_negative_mentions,shopping_safety_negative_mentions,transport_safety_negative_mentions,education_convenience_positive_mentions,food_convenience_positive_mentions,nature_convenience_positive_mentions,recreation_convenience_positive_mentions,shopping_convenience_positive_mentions,transport_convenience_positive_mentions,education_convenience_negative_mentions,food_convenience_negative_mentions,nature_convenience_negative_mentions,recreation_convenience_negative_mentions,shopping_convenience_negative_mentions,transport_convenience_negative_mentions,education_price_positive_mentions,food_price_positive_mentions,nature_price_positive_mentions,recreation_price_positive_mentions,shopping_price_positive_mentions,transport_price_positive_mentions,education_price_negative_mentions,food_price_negative_mentions,nature_price_negative_mentions,recreation_price_negative_mentions,shopping_price_negative_mentions,transport_price_negative_mentions,education_noise_net_mentions,food_noise_net_mentions,nature_noise_net_mentions,recreation_noise_net_mentions,shopping_noise_net_mentions,transport_noise_net_mentions,education_crowding_net_mentions,food_crowding_net_mentions,nature_crowding_net_mentions,recreation_crowding_net_mentions,shopping_crowding_net_mentions,transport_crowding_net_mentions,education_cleanliness_net_mentions,food_cleanliness_net_mentions,nature_cleanliness_net_mentions,recreation_cleanliness_net_mentions,shopping_cleanliness_net_mentions,transport_cleanliness_net_mentions,education_safety_net_mentions,food_safety_net_mentions,nature_safety_net_mentions,recreation_safety_net_mentions,shopping_safety_net_mentions,transport_safety_net_mentions,education_convenience_net_mentions,food_convenience_net_mentions,nature_convenience_net_mentions,recreation_convenience_net_mentions,shopping_convenience_net_mentions,transport_convenience_net_mentions,education_price_net_mentions,food_price_net_mentions,nature_price_net_mentions,recreation_price_net_mentions,shopping_price_net_mentions,transport_price_net_mentions,education_representative_reviews,food_representative_reviews,nature_representative_reviews,recreation_representative_reviews,shopping_representative_reviews,transport_representative_reviews
Choa Chu Kang,Choa Chu Kang Central,14,9,7,8,8,4,4.39,4.033,4.257,4.057,3.537,4.0,87.8,80.66,85.14,81.14,70.74,80.0,50,45,30,35,35,20,4.42,3.333,3.967,4.029,3.0,4.0,7,1,2,2,5,0,0,1,0,1,1,0,4,2,0,5,3,0,1,3,0,5,6,2,4,2,2,10,6,0,0,1,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,3,4,5,12,9,5,0,0,0,1,0,0,1,11,0,0,0,0,0,4,0,0,0,0,7,0,2,1,4,0,3,-1,0,0,-3,-2,4,1,2,10,5,0,5,0,2,0,0,0,3,4,5,11,9,5,1,7,0,0,0,0,"Great effort by the school and all staff in making the activities fun and achievable for the children. My child loves to be in the outdoor and we are happy to be able to attend suc... || Conducive environment to put my child there at CCK Lot one outlet. Teachers are approachable and welcoming. || My child, Rowen, has been attending this kindergarten since he was 18 months old and is now 2.5 years old. During this time, I’ve seen remarkable improvements in his speech and ove...","This would be my First and Last❗️ Went to this cai fan stall. And I’m shock when he told me the pricing for my plate is $5.20. - sprouts with no meat or tofu (some stall I went do ... || Disappointed. They charged $0.30 for a regular polystyrene takeaway box — not about the money, but is this even reasonable? Skewers were tough and tasteless, and the crayfish didn’... || Yummy pancake: Avoid the hum-jim-peng, the flour is lumpy and hardened when fried. Totally unpalatable. I must give one star for the food. Where is the ethic of food seller? This d...","🌿Choa Chu Kang Park is situated opposite Choa Chu Kang Bus Interchange along Choa Chu Kang Drive. 🚶‍➡️🏃‍➡️It's a community garden within the Choa Chu Kang Estate where residents ga... || Some parts under remodeling. Over all still good for visiting. Quite, shady with Macedonia just outside SAFRA, and walking distance to Lot 1 and CCK MRT. || The park is clean, well-maintained, and very peaceful. It has lush green lawns, shaded walking paths, and plenty of seating areas. The atmosphere is refreshing and ideal for mornin...","Cozy gym. Decently big too, one side are the machines, cardio, and functional area, the other segment is the dumbbell area, racks, 2 powerlifting platforms (combined with racks), c... || Irene is very patient with us, friendly, approachable, and also thoughtful. She will attend to each and every one of us to make sure our posture is correct and won’t injured oursel... || Very clean gym. Staff are also very friendly, they do walk the grounds and communicate with gym users asking for feedback and assisting them if needed. Machines are maintained, in ...","Lot One Shoppers’ Mall remains one of the most convenient and well-rounded suburban malls in the west of Singapore. Located directly beside Choa Chu Kang MRT and the bus interchang... || Lot One is a lively and convenient shopping destination that serves as a central hub for residents in the Choa Chu Kang area of Singapore. The mall is especially appreciated for it... || Lot One Shoppers' Mall in Choa Chu Kang is a fantastic shopping destination that caters to a wide range of needs. Conveniently located next to the Choa Chu Kang MRT station, it off...","It’s March 2026 when I write this. There is upgrading work going on, it will probably go on till mid 2028. The public toilets have been refurbished, new entrance gantries installed... || MRT station and bus interchange with connections! LRT connects NS line to DT line at Bukit Panjang. Coverred walk ways connecting with Lot One shopping mall. Plenty of local deligh... || The station is built but the design is yet to be created and still under construction"
Choa Chu Kang,Choa Chu Kang North,14,9,8,9,9,6,4.39,4.2,4.312,4.3,3.6,4.133,87.8,84.0,86.24,86.0,72.0,82.66,15,10,20,10,10,10,4.867,4.3,4.55,4.6,2.7,4.5,0,0,14,0,0,2,0,0,2,0,0,0,0,1,1,2,0,0,0,1,0,0,0,2,0,2,1,4,0,2,0,1,0,0,0,1,5,0,2,0,1,1,0,0,0,0,0,0,2,0,2,2,3,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,1,2,0,-2,0,1,1,4,0,1,5,0,2,0,1,1,2,0,2,2,3,4,0,2,0,0,1,0,"We’re very thankful for the caring and dedicated teachers at this preschool. Our daughter has grown so much in confidence, independence, and social skills since joining. The teache... || Very good teachers and staff here. My child has a good learning experience here. Highly recommended. || It has been totally a great experience for my daughter in little footprints Cck. Teachers and principal are always forthcoming and friendly to parents and responsive with parents q...","S11 covers the basics well — clean, spacious, and easy to move around, with good circulation space so it doesn’t feel cramped even during busier periods. The layout is practical an... || Rating the new mini zichar shop right at the entrance of the food court. Very affordable prices for decent portions, taste wise allright. || Tried the Indian rojak. Nice and yummy. The rojak gravy is good 😊","Located just next to Choa Chu Kang Way and opposite Kranji Camp. Has a ~300m walking/running track surrounding the perimeter of a hill. There are concrete paved walkways leading up... || 🌳Yew Tee Park is located at a corner of Choa Chu Kang North 6 and Choa Chu Kang Way. 🌿The hillside neighbourhood park is a green lung for the residents of Yew Tee and Choa Chu Kang... || We recently visited Yew Tee Park Playground on a sunny weekend afternoon, and it turned out to be a hidden gem for families—especially if you're out with a toddler and just looking...","GoFit CCK is a clean and well-maintained gym with a great atmosphere that makes every workout enjoyable. The equipment is always in good condition, and the overall environment is w... || I’ve had a great experience training with PT Minnie at GOFIT Choa Chu Kang. Minnie is knowledgeable, patient, and encouraging. She takes her time to explain each exercise and ensur... || I've been training with my trainer (Minnie) for quite some time, and I couldn't be more grateful for her dedication. ❤️ A big thank you to my trainer Minnie for being such an incre...","near mrt station. going to work saw some of shelving empty like don't want to do business. want to buy is like.. empty. some staff are ok. some like give me black face look. what i... || I would like to commend the excellent service and honesty demonstrated by the team at FairPrice Finest Yew Tee MRT, especially Hu Shiyun. Last Sunday afternoon, I visited the store... || Nearest FairPrice finest from my home. Love Kale chips ,Humus chips and Lentil chips sold there. Plant based Cheese and assorted types of 🧀 are available there. Could not find froz...","as all other mrt in singapore, yew tee is disabled/wheelchair friendly and yew tee square and yew tee point is a stone's throw away. easily accessible to convenience stores, NTUC s... || 无法表达的情味, not about the look but rather the vibes. yewtee is special not because of physical built environment but rather the lack of it. Being often labeled as the worst precint in... || The location of Yew MRT station is considerably superior. It is reasonable to live nearby. Have numerous stores near the MRT. Two fast food outlets in a hawker center lot (Subway, ..."
Choa Chu Kang,Keat Hong,14,5,9,10,6,5,4.456,4.14,4.367,4.32,4.0,4.12,89.12,82.8,87.34,86.4,80.0,82.4,25,15,16,15,20,5,4.56,4.4,4.375,4.933,2.65,3.8,0,0,5,2,0,1,1,0,1,2,0,0,0,0,0,1,0,0,1,0,0,3,0,1,2,0,0,11,0,1,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,0,0,2,0,3,1,3,2,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,0,4,0,0,1,-1,0,0,-2,0,-1,2,0,0,11,-1,1,1,0,0,2,0,0,2,0,3,1,2,2,1,1,1,0,0,0,"We’ve had a very positive experience with this preschool. The teachers are caring, patient, and genuinely attentive to the children. From the beginning, they made the effort to und... || We feel so lucky to have our kids at Little Footprints Preschool @ Keat Hong 803. My son joined the school since N2 and is now already in Primary 6 — he had such a pleasant and hap... || On this special occasion of Teacher’s Day, we would like to express our heartfelt gratitude for the remarkable work you do each day. Your dedication to teaching and nurturing young...","Happened to come across this home-based cafe on google maps and decided to give it a try. I got the vanilla latte & maple cinnamon latte and was super happy with both drinks. Parti... || Chanced upon this home cafe while searching for coffee and decided to give it a try — so glad I did. Made an order and it came in these really cute little bags, which was such a ni... || Ordered their Maple Cinnamon oat milk latte and thought it was quite a pleasant tasting drink. A bit on the sweet side, but you can request for less sweet. I like how it's one of t...","Nice Park. Breezy. But a bit run down. || Neighbourhood park next to KJE and Brickland Road. || Great place for young and old to take a stroll, to cycle around the park, encouraging family gatherings as there are amenities like bbq pits, children playgrounds,","This gym is easily the best in the area. The facility is always spotless, the equipment is top-tier, and there’s a great variety of machines so I never have to wait. What really se... || My safe place for the past year! Very clean, very nice and attentive staff, the equipments are up-to date and the showers are also neat and tidy! Thank you Uncle Hassan and Hafa fo... || Great experience at 24/7 Fitness Keat Hong CC. Range of equipments like Gym80, LifeFitness and Hammer Strength. Personal favourites will be the Cybex Hack Squat and the Gym80 Pendu...","A classic heartland neighbourhood mall serving the daily needs of nearby residents. The Shopping Centre has a good mix of food options, including a renovated food centre, coffee sh... || Only managed to try the yong tau foo and braised duck. Seems like many of the original stores are gone. Quite windy but still hot in this June period. || This is truly as local a shopping centre as you can find. Within a small two storey building, there's a prime supermarket, a grocery store, several coffee shops, and stalls selling...","Keat Hong LRT Station (BP3) is a light rail station along the Bukit Panjang LRT (BPLRT). Located within the Choa Chu Kang estate, the station is overground and located at the junct... || LRT station BP3 from Bukit Panjang MRT LRT conveniently located at Choa Chu Kang Way next to Keat Hong Mirage complex with popular Hey Sugar icecream Shop walking distance to Palm ... || Train delayed second time within 2 weeks time. Announcement totally not clear, no display in text on the delay and the reason. No announce on website on the delay either. Hard to i..."
Choa Chu Kang,Peng Siang,17,9,10,11,9,5,4.308,4.078,4.44,4.127,3.767,4.06,86.16,81.56,88.8,82.54,75.34,81.2,30,10,20,0,14,0,4.467,4.8,4.65,0.0,2.286,0.0,0,0,22,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,10,0,4,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-1,0,22,0,0,0,4,0,-2,0,0,0,10,0,3,0,0,0,2,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0,0,0,"Our son attended Greenary Childcare Center for both N2 and K1, and we couldn’t be happier with the experience. The teachers were incredibly caring, attentive, and supportive throug... || My both kids study there. The teachers gives special care to each kid. Each kid is considered with special attention and help in improvement of their skills. Thank you so much. || Strongly recommend Greenery childcare centre because the principal and all teachers are very committed and responsible. Though my son has only been there around few months, I can r...","Ordered via grab and the coffee and matcha both were great and nicely prepared. Good taste overall and was nicely presented in a nicely branded bag. || had the iced matcha latte (niko neko ajisai 2.0) with oat milk no sugar - my usual order everywhere, and i use this to judge the quality of matcha. Cafe Toofee’s matcha is one of t... || Got their Iced Vienna Latte, tastes amazing, no wonder it's considered one of their favourites!","A lovely small rainforest park tucked away in the west that feels surprisingly immersive despite its compact size. The walking trails are well-paved and shaded by tall trees, makin... || It was my first and hope it's not the last visit to this place. I really want to go there again. Really liked the place and enjoyed walking around this place. This would definitely... || Didn't realise there was a quarry in the park, took a long walk in nature and found many wonderful things! Was caught by a sudden downpour, appreciated the thick trees around the a...",,"Buy grocery from this branch at Blk 253 Chua Chu Kang Ave 1 and found the price tag is different from the receipt,upon checking with the staff found that the price tag is not updat... || The fish cutting old uncle lost his sense. I told thin slice but got the biggest slices. Will never buy fish from Prime. Fish quality seems about to expire and not at all fresh. Ru... || Cashier auntie need to stop talking and holding up the line. When i wanna change to a diff counter she still got the cheek to tell the auntie in-front that 哦不耐烦了. Aft that ask me i...",
Choa Chu Kang,Teck Whye,12,8,8,9,7,5,4.356,4.112,4.1,4.362,4.029,4.26,87.12,82.24,82.0,87.24,80.58,85.2,16,25,16,11,21,11,4.75,3.8,4.562,4.182,3.0,4.182,0,1,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,2,2,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,-3,-1,0,-1,-2,2,0,0,1,1,2,2,0,0,0,0,0,0,1,3,0,1,4,0,-1,0,0,0,0,"We enrolled our son at Heartyland Infant Care (Teck Whye) when he was just 3 months old. Being a Dragon year baby, it was highly competitive to find infant care and we’re so gratef... || This is pertaining to Heartyland Childcare at Mayspring Condo. The principal Mrs Lee is very money minded and refused to return the deposit of 150 dollars we paid after we decided ... || The best IFC a parent & child could ever ask for! My LO is always looking forward to go to school every single day. If you expect perfection, I'd suggest you take care of your chil...","The best neighbourhood and plenty of coffeshops to choose from, unfortunately, very limited seating capacity during the peak hours. Value for money on food selection. || Love coming here in the morning after 8 am. for the Nam Kee "" Mee Hoon Kueh."" The vegetarian bee hoon at B1 with curry is also delicious. Starbucks is always quiet here. Nice to ju... || Classic old school ""shopping mall"". Like back to the past. Unfortunately for now still packed with residents though it's Covid period. Otherwise love this place .... Only thing ......","Hindhede Nature Park is one of Singapore’s hidden gems for anyone looking to enjoy nature without committing to a long or strenuous hike. Despite its relatively small size, the par... || It seems this is my favourite spot to hike and train myself for my next climb. The trail is like super easy so I do many repetitions. The place is nice. Plenty of wild snakes and m... || Nice and peaceful park with an easy walking trail. Great for a short stroll, and the quarry view is really nice.","Great service from the gym staff! Very friendly, approachable and always willing to help. Made me feel comfortable and welcomed. They were professional, attentive and patient in an... || Inconsiderate gym user that just disregard the cleanliness for a shared facility and the rack is so close to the window, which leaves little space for manoeuvre after placing the s... || Had a pleasant time here with the staff during my sign up! The staff was very friendly and helpful with signing me up, there was many goodies like tshirt, shoe bag and a shaker bot...","A sufficiently-stocked supermarket for your daily needs within the old Teck Whye housing estate. Staff is friendly and for drivers, parking is very convenient with the surface car ... || Nice & quite to go shop there. Many items to choose. Thanka Sheng Siong. || Good to shop when hv promotions offer","Opened on 6 November 1999 as part of the Bukit Panjang LRT line operated by SMRT Trains, this LRT station is located at Choa Chu Kang Way near the junction with Choa Chu Kang Road ... || Nearest LRT station to Institute of Technical Education College West and the popular Phoenix Heights Playground Bukit Batok Park and walking distance to Bukit Batok Town Park with ... || Nothing to rate, a LRT stop with a convenience store manned by an elderly lady selling tidbits and drinks. 30m away the nearest block to the station there is a mama shop that sells..."
Choa Chu Kang,Yew Tee,13,8,8,9,7,5,4.32,4.062,4.562,4.356,3.814,4.22,86.4,81.24,91.24,87.12,76.28,84.4,7,20,9,20,25,14,5.0,3.4,4.889,4.9,3.24,4.429,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,4,0,5,2,0,0,3,0,9,6,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,2,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,-3,0,-4,0,0,0,2,0,9,6,3,3,0,0,0,0,0,0,4,0,5,3,2,0,0,0,1,1,0,"Children celebrating the National Day while parents and guardians looked on || Greenfield Montessori has been a wonderful school for all my children. My first child transitioned to P1 smoothly and did not struggle with the change. My K2 boy is doing very well... || We had a wonderful experience with Greenfield Montessori, and I’m truly grateful for the strong foundation it gave my son. He genuinely enjoyed the lessons and was always excited t...","Kopitiam Corner is located just outside Yew Tee MRT, second story. Accessible by the slimmest escalator in Singapore, stair, or elevator at the end. The food court itself has a mod... || there's a new stall, seems like its opened by the famous indian zi char chef from bedok, blacky seafood? blecky seafood? tried the bbq squid rice, its not bad. sauce is okay but gu... || Worker putting fingers into the cups to transfer cups to coffee counter. Yes worker was wearing gloves but his hands were touching many areas. This transfer was also done Infront o...","The children’s playgrounds and waterplay features, a thematic “Sampan Plaza”, a treehouse playground, a street soccer court, and an event lawn called the “Kampung Pavilion” will be... || Very exiting and lovable place, especially for children, and I believe adults too. Fun water theme play area. Good use of land below the MRT Lines. || Changed from a boring walkway to a place everyone can play and bomb with, and also it is free for all.","I love working out at this 24/7 Fitness outlet, and it’s entirely down to the incredible team here. From the manager to the trainers, everyone is exceptionally dedicated, knowledge... || Excellent gym with great convenience and facilities. The location is very convenient, just about a 30-second walk from the MRT, and it is open 24/7, which makes it easy to fit work... || Fitness First Yew Tee is clean, well maintained, and has a good range of equipment. The staff and trainers are friendly, helpful, and create a positive training environment. It can...","Yew Tee Point is located outside the Yew Tee MRT Station. It's very easy to miss because of the ongoing renovation that is happening in the middle of the square. Unlike the square,... || First time here and will be the last. The security is so rude and stucked up. There is no motorcycle lots at this mall. The security guard shouted ""Hello! No parking here"". When as... || Fire alarm went off but security do not allow people to take the escalator and leave the basement level. This is highly unusual as it could be an actual fire.","MRT with connections! Next to neighborhood Heartland malls like Yew Tee Point with great views and local International delights banking shopping dinning supermarkets cinemas entert... || It is the nearest station from my home. Buses come to this station are 302,307 and 979. It is on the Red line with Choa Chu Kang on one side and Kranji on the other. It has many am... || air conditioner is not very cool . Nature air reduce the hot."
