planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Central Water Catchment,Central Water Catchment,education,20,4.642,4207,92.84
Central Water Catchment,Central Water Catchment,transport,20,4.305,3414,86.1
Central Water Catchment,Central Water Catchment,food,20,4.21,52506,84.2
Central Water Catchment,Central Water Catchment,shopping,20,4.085,13759,81.7
Central Water Catchment,Central Water Catchment,recreation,20,4.24,12174,84.8
Central Water Catchment,Central Water Catchment,nature,20,4.525,20728,90.5
