planning_area,subzone,education_count,food_count,nature_count,recreation_count,shopping_count,transport_count,education_avg_rating,food_avg_rating,nature_avg_rating,recreation_avg_rating,shopping_avg_rating,transport_avg_rating,education_rating_100,food_rating_100,nature_rating_100,recreation_rating_100,shopping_rating_100,transport_rating_100,education_review_count,food_review_count,nature_review_count,recreation_review_count,shopping_review_count,transport_review_count,education_avg_review_rating,food_avg_review_rating,nature_avg_review_rating,recreation_avg_review_rating,shopping_avg_review_rating,transport_avg_review_rating,education_noise_positive_mentions,food_noise_positive_mentions,nature_noise_positive_mentions,recreation_noise_positive_mentions,shopping_noise_positive_mentions,transport_noise_positive_mentions,education_noise_negative_mentions,food_noise_negative_mentions,nature_noise_negative_mentions,recreation_noise_negative_mentions,shopping_noise_negative_mentions,transport_noise_negative_mentions,education_crowding_positive_mentions,food_crowding_positive_mentions,nature_crowding_positive_mentions,recreation_crowding_positive_mentions,shopping_crowding_positive_mentions,transport_crowding_positive_mentions,education_crowding_negative_mentions,food_crowding_negative_mentions,nature_crowding_negative_mentions,recreation_crowding_negative_mentions,shopping_crowding_negative_mentions,transport_crowding_negative_mentions,education_cleanliness_positive_mentions,food_cleanliness_positive_mentions,nature_cleanliness_positive_mentions,recreation_cleanliness_positive_mentions,shopping_cleanliness_positive_mentions,transport_cleanliness_positive_mentions,education_cleanliness_negative_mentions,food_cleanliness_negative_mentions,nature_cleanliness_negative_mentions,recreation_cleanliness_negative_mentions,shopping_cleanliness_negative_mentions,transport_cleanliness_negative_mentions,education_safety_positive_mentions,food_safety_positive_mentions,nature_safety_positive_mentions,recreation_safety_positive_mentions,shopping_safety_positive_mentions,transport_safety_positive_mentions,education_safety_negative_mentions,food_safety_negative_mentions,nature_safety_negative_mentions,recreation_safety_negative_mentions,shopping_safety_negative_mentions,transport_safety_negative_mentions,education_convenience_positive_mentions,food_convenience_positive_mentions,nature_convenience_positive_mentions,recreation_convenience_positive_mentions,shopping_convenience_positive_mentions,transport_convenience_positive_mentions,education_convenience_negative_mentions,food_convenience_negative_mentions,nature_convenience_negative_mentions,recreation_convenience_negative_mentions,shopping_convenience_negative_mentions,transport_convenience_negative_mentions,education_price_positive_mentions,food_price_positive_mentions,nature_price_positive_mentions,recreation_price_positive_mentions,shopping_price_positive_mentions,transport_price_positive_mentions,education_price_negative_mentions,food_price_negative_mentions,nature_price_negative_mentions,recreation_price_negative_mentions,shopping_price_negative_mentions,transport_price_negative_mentions,education_noise_net_mentions,food_noise_net_mentions,nature_noise_net_mentions,recreation_noise_net_mentions,shopping_noise_net_mentions,transport_noise_net_mentions,education_crowding_net_mentions,food_crowding_net_mentions,nature_crowding_net_mentions,recreation_crowding_net_mentions,shopping_crowding_net_mentions,transport_crowding_net_mentions,education_cleanliness_net_mentions,food_cleanliness_net_mentions,nature_cleanliness_net_mentions,recreation_cleanliness_net_mentions,shopping_cleanliness_net_mentions,transport_cleanliness_net_mentions,education_safety_net_mentions,food_safety_net_mentions,nature_safety_net_mentions,recreation_safety_net_mentions,shopping_safety_net_mentions,transport_safety_net_mentions,education_convenience_net_mentions,food_convenience_net_mentions,nature_convenience_net_mentions,recreation_convenience_net_mentions,shopping_convenience_net_mentions,transport_convenience_net_mentions,education_price_net_mentions,food_price_net_mentions,nature_price_net_mentions,recreation_price_net_mentions,shopping_price_net_mentions,transport_price_net_mentions,education_representative_reviews,food_representative_reviews,nature_representative_reviews,recreation_representative_reviews,shopping_representative_reviews,transport_representative_reviews
Sungei Kadut,Gali Batu,20,20,20,20,20,20,4.69,4.16,4.435,4.13,4.11,4.245,93.8,83.2,88.7,82.6,82.2,84.9,10,10,10,10,10,10,4.3,4.8,4.9,4.0,4.8,4.1,4,1,10,2,0,2,1,3,0,0,0,0,1,0,2,1,0,1,0,7,3,0,3,3,1,0,1,3,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,6,5,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,1,0,3,-2,10,2,0,2,1,-7,-1,1,-3,-2,1,0,1,3,0,5,1,0,0,0,0,0,4,0,0,2,6,5,0,3,0,0,5,0,"Nice and quiet. Library staff are helpful. But mobile data signal by Simba ( 1 bar inside, 2 -3 bars outside. not sure about the others) is really poor. Couldn't even login to ""che... || Queenstown library is a heritage building, rich in its own history. Spacious with two levels, kids area is on the first floor. The second floor for adults is really quiet with nice... || building's exterior may look unassuming or even a lil spooky but the inside is really cozy and homely! lovely space, limited tables but plenty of seats if you really want a table, ...","Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...","I visited here for a morning walk. The park is quite large, so you'll definitely work up a sweat walking around. I highly recommend bringing a water bottle. It's full of nature, an... || Relaxing spot, perfect for a nature retreat while in the city. A lot less crowded than you'd expect, considering it's central spot. It's a collection of spots really, rather than a... || This is a quiet green park in Singapore. Looks like an old park with lot of greenery. It's clam, quiet and with lot of shade its ideal for a relaxing time. The famous Fort canning ...","Hidden away in the Rifle Range greenery, Temasek Club honestly feels like one of those underrated chill spots in Singapore. The whole place has a peaceful resort vibe with lots of ... || On 6 March 2026, I had the privilege of visiting Temasek Club during a Taiwan–Singapore exchange meeting. The venue is beautiful and well maintained, creating a welcoming and refin... || Nice and clear place and the foods are damn good 👍","Refurbished recently. Some nice deco outside but not much has changed. The net playground is still there, which is a good thing and a unique attraction to this mall. || 🟠 City Square Mall 180 Kitchener Road Singapore 208539 🟣 Location = 🟣 the mall is located at the junction of Serangoon Road and Kitchener Road. 🟣 It is directly connected to the Fa... || If you are around Little India area, City Square Mall is actually a pretty nice place to chill and makan. It's just a short walk from Mustafa Centre and the mall has a good mix of ...","Buona Vista MRT Station is one of the most convenient and well-designed stations in Singapore. It serves as an interchange for the East-West Line (EWL) and the Circle Line (CCL), m... || Buona Vista MRT Station is a very clean and convenient interchange between the East–West Line and Circle Line. Transfers are easy, and the station has clear signs, lifts, and good ... || Great station - close to the Star Vista Mall where you can find food, drinks, Cold Storage. It serves Green & Yellow lines although it can be confusing to navigate from one to the ..."
Sungei Kadut,Kranji,20,20,20,20,20,20,4.763,4.115,4.425,4.245,4.2,4.385,95.26,82.3,88.5,84.9,84.0,87.7,10,10,10,10,10,10,4.3,4.8,4.7,4.3,4.7,4.2,4,1,13,2,0,1,1,3,0,0,0,0,1,0,1,1,0,3,0,7,3,1,1,3,1,0,1,3,2,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,4,0,0,2,7,6,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,-2,13,2,0,1,1,-7,-2,0,-1,0,1,0,1,3,2,4,1,0,0,1,-1,1,4,0,0,1,7,6,0,3,0,0,-1,0,"Nice and quiet. Library staff are helpful. But mobile data signal by Simba ( 1 bar inside, 2 -3 bars outside. not sure about the others) is really poor. Couldn't even login to ""che... || Queenstown library is a heritage building, rich in its own history. Spacious with two levels, kids area is on the first floor. The second floor for adults is really quiet with nice... || building's exterior may look unassuming or even a lil spooky but the inside is really cozy and homely! lovely space, limited tables but plenty of seats if you really want a table, ...","Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...","Sungei Buloh Wetland Reserve is one of the best places in Singapore to experience nature in its most authentic form. From the moment I entered via the Neo Tiew Crescent entrance, I... || A refreshing escape into nature! We enjoyed a slow and peaceful walk at Sungei Buloh Wetland Reserve on May 27, fully immersed in the calm beauty of the wetlands. The walking paths... || A beautiful and peaceful escape into nature! The mangroves, fresh air, and rich wildlife make every walk feel special. Perfect for a relaxing stroll or bird watching—especially in ...","Hidden away in the Rifle Range greenery, Temasek Club honestly feels like one of those underrated chill spots in Singapore. The whole place has a peaceful resort vibe with lots of ... || On 6 March 2026, I had the privilege of visiting Temasek Club during a Taiwan–Singapore exchange meeting. The venue is beautiful and well maintained, creating a welcoming and refin... || Nice and clear place and the foods are damn good 👍","AMK Hub is one of the most convenient and practical malls in Ang Mo Kio. The location is excellent, as it is directly connected to Ang Mo Kio MRT station and the bus interchange, m... || AMK Hub is a really convenient neighbourhood mall, especially since it’s directly connected to Ang Mo Kio MRT and the bus interchange. It’s super easy to get to, which makes it a p... || A good, classic neighbourhood mall with food options that leave you spoilt for choice. A rectangular-shaped mall with basements mostly eateries, Level 1 & 2 mostly shops, and Level...",Kranji MRT station is a convenient and well-maintained transit point that serves commuters traveling between northern Singapore and the rest of Singapore. The station is especially... || I was lost at Kranji mrt stn. Assistant Station Manager Syahirah assisted me with finding my direction. She showed an exemplary customer service attitude. SMRT is lucky to have her... || On 6 November 2025 I spotted nice sunrise kranji mrt kranji area good place Sunrise
Sungei Kadut,Pang Sua,20,20,20,20,20,20,4.394,4.09,4.425,4.235,4.14,4.12,87.88,81.8,88.5,84.7,82.8,82.4,10,10,10,10,10,10,4.5,4.8,4.4,4.3,4.3,4.4,6,1,6,2,0,2,1,3,0,0,0,0,1,0,1,1,0,2,0,7,2,1,0,2,3,0,2,3,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,1,2,6,6,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,5,-2,6,2,0,2,1,-7,-1,0,0,0,3,0,2,3,-1,2,0,0,0,1,0,1,4,0,1,1,6,6,0,3,0,0,-1,0,"Really like this library. There are many types of books and magazines to choose from, and it even has a second floor. The place is bright and clean. Staff are friendly and helpful.... || Clean, pleasant and quiet - truly a sanctuary for anyone who appreciates peaceful moments. It's about a 15-minute walk from Ang Mo Kio MRT station, but I genuinely enjoy the stroll... || Big, quiet, selection of books is awesome. Not as many desks as compared to other libraries. So if you're looking for a place to study, pls go elsewhere like punggol and don't hog ...","Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...","🌿Choa Chu Kang Park is situated opposite Choa Chu Kang Bus Interchange along Choa Chu Kang Drive. 🚶‍➡️🏃‍➡️It's a community garden within the Choa Chu Kang Estate where residents ga... || Some parts under remodeling. Over all still good for visiting. Quite, shady with Macedonia just outside SAFRA, and walking distance to Lot 1 and CCK MRT. || The park is clean, well-maintained, and very peaceful. It has lush green lawns, shaded walking paths, and plenty of seating areas. The atmosphere is refreshing and ideal for mornin...","Hidden away in the Rifle Range greenery, Temasek Club honestly feels like one of those underrated chill spots in Singapore. The whole place has a peaceful resort vibe with lots of ... || On 6 March 2026, I had the privilege of visiting Temasek Club during a Taiwan–Singapore exchange meeting. The venue is beautiful and well maintained, creating a welcoming and refin... || Nice and clear place and the foods are damn good 👍","Refurbished recently. Some nice deco outside but not much has changed. The net playground is still there, which is a good thing and a unique attraction to this mall. || 🟠 City Square Mall 180 Kitchener Road Singapore 208539 🟣 Location = 🟣 the mall is located at the junction of Serangoon Road and Kitchener Road. 🟣 It is directly connected to the Fa... || If you are around Little India area, City Square Mall is actually a pretty nice place to chill and makan. It's just a short walk from Mustafa Centre and the mall has a good mix of ...","I alighted at this bus interchange (the newer one as opposed to the older ""Temporary"" one) getting off Bus number 961 from Hillview where I live. I arrived here to visit Causeway P... || The bus driver seemed half asleep; he was driving incredibly slowly. A bus is meant to get people to their destination quickly, not to make them late! This is terrible! Does he not... || so much space, which is good. my only complaint is the main passenger alighting area .. where it can be quite a distance to walk all the way towards the direction of the MRT Statio..."
Sungei Kadut,Reservoir View,20,20,20,20,20,20,4.458,4.075,4.41,4.2,4.23,4.18,89.16,81.5,88.2,84.0,84.6,83.6,10,10,10,10,10,10,4.5,4.7,4.5,4.4,4.4,4.4,4,1,8,2,0,2,1,0,0,0,0,0,2,0,1,0,0,2,0,4,2,1,3,2,3,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,6,6,0,0,0,1,0,0,0,3,0,0,1,0,0,3,0,0,0,0,3,1,8,2,0,2,2,-4,-1,-1,-3,0,3,1,1,2,1,2,0,0,0,1,0,1,3,0,0,-1,6,6,0,0,0,0,1,0,"Am I the only one feeling a bit hot in here? 🤔 Haven't come to this library and the cafe downstairs for a long time. I prefer here because many available seats. And I am someone wh... || Other libary blast the air con which is okay This libary doesn’t bother to turn it on on the upper floors??? Booked S301 and when I came there was a pile of stuff there, told the l... || Convenient place to study. Relaxing and clean. The staff provided enough tables and chairs. But the only things is very limited socket to charge your laptop. It is better to fully ...","Old Airport Road Food Centre exceeded my expectations with a great variety of Singapore heritage dishes. I also loved the creativity behind many stall names referencing places like... || Old Airport Road Food Center is one of popular places for breakfast and lunch. There are many nice food around such as Lor Mee, Hokkien Mee, Prawn Noddle, Chicken Rice, Roasted Por... || Great hawker centre but it can get a little stuffy. Try to grab one of the round tables by the entrances or near the ventilation areas for more space and cool air. Loved the lor me...","The park itself is fine if you don't intend to go onto the other side of the waterway because the number of bridges linking the two sides are few and far apart. I am not sure why i... || Great place for a family walk. Quite a lot of wildlife and nature you can spot here if you look closely. || Nature's serenity and wonder, 😜 if you don't mind just a quiet morning walk or family walk ☺️🍀😎💕👍🏽🌈","Nice and serene place. Place is rather dated but well maintained, though it does show its age. There is a simple variety of activities that can be done here, though it is a common ... || Civil Service Club Bukit Batok swimming pool. A variety of fun and relaxing water activities, but access is limited to members and their guests. The pool area includes a large chil... || Service was good, portion was really big. Ordered 2 small noodles, small veg, small sweet and sour pork and small tofu for 4 people and we can't finish half the amount of food.","NEX is a big, convenient mall that’s hard to beat for errands or a casual day out. It’s right by Serangoon MRT and the bus interchange, so getting in and out is easy. Inside, it’s ... || Huge shopping mall connected to Serangoon MRT. Has all outlets that you need for shopping and food. Very accessible. Can get a bit crowded on weekends. || Probably the busiest, most bustling mall in the heartlands. It’s a decent size with a pretty good tenant mix, but word on the street is that the old Isetan spot is being turned int...","I alighted at this bus interchange (the newer one as opposed to the older ""Temporary"" one) getting off Bus number 961 from Hillview where I live. I arrived here to visit Causeway P... || The bus driver seemed half asleep; he was driving incredibly slowly. A bus is meant to get people to their destination quickly, not to make them late! This is terrible! Does he not... || so much space, which is good. my only complaint is the main passenger alighting area .. where it can be quite a distance to walk all the way towards the direction of the MRT Statio..."
Sungei Kadut,Turf Club,20,20,20,20,20,20,4.711,4.145,4.425,4.185,4.15,4.245,94.22,82.9,88.5,83.7,83.0,84.9,10,10,10,10,10,10,4.7,4.8,4.5,3.8,4.8,4.9,7,1,8,0,0,3,0,3,0,0,0,0,4,0,1,0,0,2,2,7,2,2,4,2,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,6,5,0,0,0,1,0,0,0,3,0,0,6,0,0,0,0,0,0,0,7,-2,8,0,0,3,2,-7,-1,-2,-4,0,3,0,1,0,0,3,0,0,0,1,0,1,1,0,0,-1,6,5,0,3,0,0,6,0,"The library is always an ideal sanctuary for those who appreciate some peace and quiet. It has been years since my last visit, and it now appears to have expanded, with an entire u... || Choa Chu Kang Public Library at Lot One is a very modern, clean, and well-designed library that is conveniently located right next to the MRT station and inside the mall. The inter... || Pleased with my visit here and how clean, modern and spacious the library is. Plenty of seating areas and even a level 5 kids area to entertain the kids. Great selection of books a...","Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...","The park itself is fine if you don't intend to go onto the other side of the waterway because the number of bridges linking the two sides are few and far apart. I am not sure why i... || Great place for a family walk. Quite a lot of wildlife and nature you can spot here if you look closely. || Nature's serenity and wonder, 😜 if you don't mind just a quiet morning walk or family walk ☺️🍀😎💕👍🏽🌈","Usually go there for table tennis. Only Table 2, 3 and 4 are good for match play. Other tables have smaller spacing and suitable only for training. || ⭐️⭐️⭐️⭐️⭐️ Jurong West Swimming Complex — Hidden Gem Alert Best Sunday experience, hands down. Not crazy crowded, which is a rare win in Singapore. The lap pool is bliss—can actual... || The Jurong West ActiveSG was very Beautiful specially when it is Night time... It is very helpful for people of all ages specially the Older & Kids to do various kinds of Workout &...","One of the old malls that had been revamped. We were here years ago and after coming back bout 15years later, the place looks really different! Lets dive in! Location: Integrated w... || Explored Causeway Point in a day. Anchor tenants like Metro Store, Courts for electrical and furniture, Uniqlo Japanese fashion wear. Lots of F&B selections from Kopitiam Bagus hal... || Wow many eateries at the basement offering good food here. Also first floor have a lot of nice shops selling food for takeaway all in one shopping mall.",Kranji MRT station is a convenient and well-maintained transit point that serves commuters traveling between northern Singapore and the rest of Singapore. The station is especially... || I was lost at Kranji mrt stn. Assistant Station Manager Syahirah assisted me with finding my direction. She showed an exemplary customer service attitude. SMRT is lucky to have her... || On 6 November 2025 I spotted nice sunrise kranji mrt kranji area good place Sunrise
